route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
55,18:56:00,0.4,1000,0,11,12,58,2,12,2,58,0,0,2,6900.0,14581.851999999999,0.012900114059448242,0.009476900100708008,0.0,-14581.851999999999
55,18:56:00,0.4,1000,100,11,12,58,5,15,2,53,5,3,2,6900.0,16011.169000000002,0.000865936279296875,0.001692056655883789,0.0,-11011.169000000002
55,18:56:00,0.4,1000,200,11,12,58,12,18,6,48,10,6,6,6030.0,17212.013000000003,0.0031189918518066406,0.005524873733520508,0.0,-7212.013000000003
55,18:56:00,0.4,1000,300,11,12,58,23,21,14,45,13,9,14,6900.0,17529.972999999998,0.016669034957885742,0.06436395645141602,0.0,-4529.972999999998
55,18:56:00,0.4,1000,400,11,12,58,26,24,14,42,16,12,14,6900.0,19107.957,0.020955324172973633,0.06804394721984863,0.0,-3107.9569999999985
55,18:56:00,0.4,1000,500,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.023253917694091797,0.0717458724975586,0.0,-1616.3409999999967
55,18:56:00,0.4,1000,600,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.03957509994506836,0.07085585594177246,0.0,-1616.3409999999967
55,18:56:00,0.4,1000,700,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.02296304702758789,0.0694880485534668,0.0,-1616.3409999999967
195,07:09:00,0.4,1000,0,9,10,48,2,12,0,46,2,2,0,3557.0,7841.07,0.0004968643188476562,0.0007648468017578125,0.0,-5841.07
195,07:09:00,0.4,1000,100,9,10,48,7,17,0,26,22,7,0,3283.0,9540.228,0.001970052719116211,0.001129150390625,0.0,12459.772
195,07:09:00,0.4,1000,200,9,10,48,12,22,0,11,37,12,0,3459.7123971009314,11417.908,0.004290103912353516,0.00162506103515625,0.0,25582.092
195,07:09:00,0.4,1000,300,9,10,48,20,24,6,8,40,14,6,3557.0,12948.919999999998,0.008182048797607422,0.0049591064453125,0.0,27051.08
195,07:09:00,0.4,1000,400,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.009026050567626953,0.004415988922119141,0.0,27051.08
195,07:09:00,0.4,1000,500,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.009159088134765625,0.0048139095306396484,0.0,27051.08
195,07:09:00,0.4,1000,600,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.009503841400146484,0.004904031753540039,0.0,27051.08
