route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
55,18:56:00,0.4,0,10,11,12,2,2,12,2,2,0,0,2,6900.0,14581.851999999999,0.008034944534301758,0.0013360977172851562,0.0,-14581.851999999999
55,18:56:00,0.4,100,10,11,12,2,2,12,2,2,0,0,2,6900.0,14581.851999999999,0.0005180835723876953,0.0005819797515869141,0.0,-14581.851999999999
55,18:56:00,0.4,500,10,11,12,2,2,12,2,2,0,0,2,6900.0,14581.851999999999,0.00048828125,0.0003979206085205078,0.0,-14581.851999999999
55,18:56:00,0.4,1000,10,11,12,2,2,12,2,2,0,0,2,6900.0,14581.851999999999,0.00047898292541503906,0.0004248619079589844,0.0,-14581.851999999999
55,18:56:00,0.4,0,100,11,12,7,5,12,5,7,0,0,5,6030.0,14581.851999999999,0.0009150505065917969,0.0014460086822509766,0.0,-14581.851999999999
55,18:56:00,0.4,100,100,11,12,7,5,14,3,5,2,2,3,6030.0,14636.119,0.0009517669677734375,0.0007770061492919922,0.0,-14436.119
55,18:56:00,0.4,500,100,11,12,7,5,15,2,2,5,3,2,6900.0,16011.169000000002,0.0010008811950683594,0.0009369850158691406,0.0,-13511.169000000002
55,18:56:00,0.4,1000,100,11,12,7,5,15,2,2,5,3,2,6900.0,16011.169000000002,0.0008976459503173828,0.0009257793426513672,0.0,-11011.169000000002
55,18:56:00,0.4,0,500,11,12,58,27,14,25,58,0,2,25,6030.0,14581.851999999999,0.023986101150512695,0.004045963287353516,0.0,-14581.851999999999
55,18:56:00,0.4,100,500,11,12,58,27,16,23,54,4,4,23,6030.0,14729.09,0.022314071655273438,0.004475116729736328,0.0,-14329.09
55,18:56:00,0.4,500,500,11,12,58,27,24,15,43,15,12,15,6123.344279408251,17634.93,0.023311138153076172,0.05148196220397949,0.0,-10134.93
55,18:56:00,0.4,1000,500,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.022673845291137695,0.07216286659240723,0.0,-1616.3409999999967
55,18:56:00,0.4,0,700,11,12,58,27,14,25,58,0,2,25,6030.0,14581.851999999999,0.023362159729003906,0.004086017608642578,0.0,-14581.851999999999
55,18:56:00,0.4,100,700,11,12,58,27,16,23,54,4,4,23,6030.0,14729.09,0.023459196090698242,0.0046198368072509766,0.0,-14329.09
55,18:56:00,0.4,500,700,11,12,58,27,24,15,43,15,12,15,6123.344279408251,17634.93,0.02294611930847168,0.050776004791259766,0.0,-10134.93
55,18:56:00,0.4,1000,700,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.02334904670715332,0.07329487800598145,0.0,-1616.3409999999967
195,07:09:00,0.4,0,10,9,10,2,2,10,2,2,0,0,2,3557.0,7717.884000000001,0.0004711151123046875,0.0004489421844482422,0.0,-7717.884000000001
195,07:09:00,0.4,100,10,9,10,2,2,12,0,0,2,2,0,3283.0,7841.07,0.00041604042053222656,0.00047588348388671875,0.0,-7641.07
195,07:09:00,0.4,500,10,9,10,2,2,12,0,0,2,2,0,3557.0,7841.07,0.00041103363037109375,0.00040912628173828125,0.0,-6841.07
195,07:09:00,0.4,1000,10,9,10,2,2,12,0,0,2,2,0,3557.0,7841.07,0.0004010200500488281,0.00049591064453125,0.0,-5841.07
195,07:09:00,0.4,0,100,9,10,22,7,12,5,22,0,2,5,3557.0,7717.884000000001,0.001786947250366211,0.001260995864868164,0.0,-7717.884000000001
195,07:09:00,0.4,100,100,9,10,22,7,14,3,3,19,4,3,3283.0,7841.07,0.002050161361694336,0.0008220672607421875,0.0,-5941.07
195,07:09:00,0.4,500,100,9,10,22,7,15,2,2,20,5,2,3283.0,8187.909,0.0020627975463867188,0.0023539066314697266,0.0,1812.0910000000003
195,07:09:00,0.4,1000,100,9,10,22,7,17,0,0,22,7,0,3283.0,9540.228,0.0017900466918945312,0.001219034194946289,0.0,12459.772
195,07:09:00,0.4,0,500,9,10,48,21,11,20,48,0,1,20,3283.0,7717.884000000001,0.008920907974243164,0.0018050670623779297,0.0,-7717.884000000001
195,07:09:00,0.4,100,500,9,10,48,21,14,17,25,23,4,17,3283.0,7841.07,0.008983135223388672,0.0017781257629394531,0.0,-5541.07
195,07:09:00,0.4,500,500,9,10,48,21,21,10,11,37,11,10,3459.7123971009314,10758.765,0.009634017944335938,0.0022051334381103516,0.0,7741.235000000001
195,07:09:00,0.4,1000,500,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.00937795639038086,0.004958152770996094,0.0,27051.08
195,07:09:00,0.4,0,700,9,10,48,21,11,20,48,0,1,20,3283.0,7717.884000000001,0.009020805358886719,0.0018830299377441406,0.0,-7717.884000000001
195,07:09:00,0.4,100,700,9,10,48,21,14,17,25,23,4,17,3283.0,7841.07,0.009049654006958008,0.0018451213836669922,0.0,-5541.07
