route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,0,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.012354612350463867,0.00834512710571289,0.0,-14581.851999999999
55,18:56:00,0.4,100,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.0003771781921386719,0.0003437995910644531,0.0,-14581.851999999999
55,18:56:00,0.4,200,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.0003981590270996094,0.0005130767822265625,0.0,-14581.851999999999
55,18:56:00,0.4,300,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.00041794776916503906,0.00045490264892578125,0.0,-14581.851999999999
55,18:56:00,0.4,400,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.00045418739318847656,0.00041413307189941406,0.0,-14581.851999999999
55,18:56:00,0.4,500,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.00036025047302246094,0.00030612945556640625,0.0,-14581.851999999999
55,18:56:00,0.4,600,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.00038909912109375,0.00037384033203125,0.0,-14581.851999999999
55,18:56:00,0.4,700,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.00036787986755371094,0.0003311634063720703,0.0,-14581.851999999999
55,18:56:00,0.4,800,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.0003719329833984375,0.00042700767517089844,0.0,-14581.851999999999
55,18:56:00,0.4,0,100,11,12,58,16,14,14,58,0,2,14,5105.0,14581.851999999999,0.0036978721618652344,0.005838155746459961,0.0,-14581.851999999999
55,18:56:00,0.4,100,100,11,12,58,16,14,14,58,0,2,14,5105.0,14581.851999999999,0.004302978515625,0.0019769668579101562,0.0,-14581.851999999999
55,18:56:00,0.4,200,100,11,12,58,16,14,14,58,0,2,14,5105.0,14581.851999999999,0.004931926727294922,0.004417896270751953,0.0,-14581.851999999999
55,18:56:00,0.4,300,100,11,12,58,16,15,13,55,3,3,13,5105.0,15194.059,0.004127979278564453,0.003982067108154297,0.0,-14294.059
55,18:56:00,0.4,400,100,11,12,58,16,15,13,55,3,3,13,5105.0,15194.059,0.0041921138763427734,0.002949953079223633,0.0,-13994.059
