route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1100,500,11,12,58,42,12,42,57,1,0,42,5139.0,14581.851999999999,0.05335235595703125,0.007676124572753906,0.0,-13481.851999999999
195,07:09:00,0.4,1100,500,9,10,48,31,10,31,44,4,0,31,2514.0,7717.884000000001,0.021620988845825195,0.0006699562072753906,0.0,-3317.884000000001
196,16:23:30,0.4,1100,500,6,7,29,20,7,20,26,3,0,20,1954.0,5893.641,0.008685111999511719,0.003094196319580078,0.0,-2593.6409999999996
199,16:04:00,0,1100,500,1,2,43,33,2,33,43,0,0,33,3069.0,5573.648,0.07354116439819336,0.0010221004486083984,0.0,-5573.648
192,14:50:30,0.2,1100,500,3,4,53,38,4,38,53,0,0,38,2090.0,6185.912,0.05302691459655762,0.0009760856628417969,0.0,-6185.912
195,07:09:00,1,1100,500,22,23,48,24,23,24,39,9,0,24,2514.0,9212.719,0.010416984558105469,0.0005190372467041016,0.0,687.2810000000009
196,09:57:30,0.4,1100,500,6,7,15,15,7,15,15,0,0,15,2020.0,6708.989,0.002917051315307617,0.0005841255187988281,0.0,-6708.989
155,07:44:30,0.2,1100,500,2,3,45,33,3,33,45,0,0,33,1868.0,4926.077000000001,0.06919693946838379,0.001168966293334961,0.0,-4926.077000000001
55,15:58:00,0.4,1100,500,9,10,71,50,10,50,67,4,0,50,4126.0,10434.077999999998,0.06179213523864746,0.0009169578552246094,0.0,-6034.077999999998
196,16:23:30,0.2,1100,500,3,4,29,22,4,22,29,0,0,22,1954.0,5133.188,0.011462926864624023,0.0006251335144042969,0.0,-5133.188
195,07:09:00,0,1100,500,1,2,48,38,2,38,48,0,0,38,2514.0,4176.066000000001,0.10395216941833496,0.001230001449584961,0.0,-4176.066000000001
199,16:04:00,1,1100,500,19,20,43,18,20,18,31,12,0,18,3069.0,11329.088999999998,0.007901906967163086,0.0005600452423095703,0.0,1870.9110000000019
