route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1100,250,11,12,58,41,35,18,19,39,23,18,5139.0,22378.581,0.051760196685791016,1.9758110046386719,0.0,20521.419
195,07:09:00,0.4,1100,250,9,10,48,29,23,16,31,17,13,16,2514.0,10520.457,0.01782679557800293,0.005728960037231445,0.0,8179.543
196,16:23:30,0.4,1100,250,6,7,29,20,15,12,12,17,8,12,2060.0,8070.053999999999,0.009016036987304688,0.01753401756286621,0.0,10629.946
199,16:04:00,0,1100,250,1,2,43,31,23,10,24,19,21,10,3069.0,13438.633,0.04403090476989746,0.14289379119873047,0.0,7461.367
192,14:50:30,0.2,1100,250,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.053250789642333984,0.12572789192199707,0.0,18404.5
195,07:09:00,1,1100,250,22,23,48,23,26,20,35,13,3,20,2459.528901216894,9635.070999999998,0.010075092315673828,0.001756906509399414,0.0,4664.929000000002
196,09:57:30,0.4,1100,250,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.0030829906463623047,0.001466989517211914,0.0,1702.2799999999988
155,07:44:30,0.2,1100,250,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06821990013122559,0.03753185272216797,0.0,19022.731
55,15:58:00,0.4,1100,250,9,10,71,50,26,34,48,23,16,34,4126.0,13052.034,0.06371378898620605,0.02818584442138672,0.0,12247.966
196,16:23:30,0.2,1100,250,3,4,29,22,15,11,11,18,11,11,1954.0,8481.37,0.011134147644042969,0.08985114097595215,0.0,11318.63
195,07:09:00,0,1100,250,1,2,48,36,28,10,15,33,26,10,2514.0,11106.996000000001,0.09264779090881348,0.19976496696472168,0.0,25193.004
199,16:04:00,1,1100,250,19,20,43,17,24,13,31,12,4,13,3025.0,12523.838999999996,0.005239009857177734,0.002145051956176758,0.0,676.1610000000037
55,18:56:00,0.2,1100,250,5,6,58,47,44,9,11,47,38,9,5139.0,22730.953000000005,0.12500691413879395,0.7023310661315918,0.0,28969.046999999995
195,07:09:00,0.2,1100,250,4,5,48,33,24,14,23,25,19,14,2514.0,10538.893000000002,0.0920572280883789,0.27467894554138184,0.0,16961.106999999996
196,09:57:30,0.2,1100,250,3,4,15,16,17,3,4,11,13,3,2020.0,8184.095000000002,0.006510257720947266,0.012317895889282227,0.0,3915.9049999999993
155,07:44:30,0.4,1100,250,5,6,45,30,17,19,25,20,11,19,1926.0,8149.008000000002,0.03876781463623047,0.019989013671875,0.0,13850.991999999998
55,15:58:00,0.2,1100,250,4,5,71,53,34,24,32,39,29,24,4126.0,15916.99199999992,0.0884089469909668,0.07130908966064453,8.089488333750785e-15,26983.007999999834
192,14:50:30,0.4,1100,250,6,7,53,36,24,19,29,24,17,19,2090.0,9008.505000000041,0.024774789810180664,0.022649049758911133,0.0,17391.495000000134
194,15:17:30,1,1100,250,22,23,48,17,25,15,25,23,2,15,2343.0,9042.614999999998,0.008244037628173828,0.0010700225830078125,0.0,16257.385000000002
185,15:27:00,1,1100,250,17,18,26,18,23,13,20,6,5,13,2113.0,8614.527999999998,0.005228757858276367,0.0009071826934814453,0.0,-2014.5279999999984
198,10:24:30,0,1100,250,1,2,17,17,9,10,10,7,7,10,790.0,3510.5789999999997,0.009884834289550781,0.007302999496459961,0.0,4189.421
191,07:22:00,0,1100,250,1,2,31,24,14,12,16,15,12,12,1387.0,6152.289734896091,0.029909133911132812,0.018312931060791016,0.0,10347.71026510391
195,13:21:00,0,1100,250,1,2,40,42,22,22,18,22,20,22,2556.0,11237.368000000002,0.1114499568939209,0.48583412170410156,0.0,12962.631999999998
194,15:17:30,0.2,1100,250,4,5,48,28,22,11,22,26,17,11,2356.8992931281246,10297.189999999999,0.027704238891601562,0.004191160202026367,0.0,18302.81
198,19:44:00,0.4,1100,250,3,4,23,13,11,6,8,15,7,6,929.594890837514,3879.101,0.003838062286376953,0.004058837890625,0.0,12620.899
191,13:41:30,0,1100,250,1,2,23,18,11,9,12,11,9,9,1422.0,6109.509684128705,0.013152122497558594,0.009469032287597656,0.0,5990.490315871295
198,10:24:30,0.4,1100,250,3,4,17,15,9,10,14,3,5,10,747.0,3225.6719999999996,0.00397801399230957,0.0014679431915283203,0.0,74.32800000000043
