route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1000,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.012269973754882812,0.007139921188354492,0.0,-14581.851999999999
55,18:56:00,0.4,1000,100,11,12,58,16,23,5,48,10,11,5,5139.0,20034.649,0.003933906555175781,0.03257584571838379,0.0,-10034.649000000001
55,18:56:00,0.4,1000,200,11,12,58,41,34,19,20,38,22,19,5139.0,22120.745,0.03781294822692871,0.47792506217956543,0.0,15879.255000000001
55,18:56:00,0.4,1000,300,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04314112663269043,1.0707318782806396,0.0,16621.419
55,18:56:00,0.4,1000,400,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04122781753540039,1.1159310340881348,0.0,16621.419
55,18:56:00,0.4,1000,500,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.041567087173461914,1.1299290657043457,0.0,16621.419
55,18:56:00,0.4,1000,600,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.041671037673950195,1.126025915145874,0.0,16621.419
55,18:56:00,0.4,1000,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04142427444458008,1.129215955734253,0.0,16621.419
195,07:09:00,0.4,1000,0,9,10,48,0,10,0,48,0,0,0,2514.0,7717.884000000001,0.00032520294189453125,0.0007588863372802734,0.0,-7717.884000000001
195,07:09:00,0.4,1000,100,9,10,48,9,16,3,44,4,6,3,2509.3167949176823,8653.054000000002,0.0011119842529296875,0.0013909339904785156,0.0,-4653.054000000002
195,07:09:00,0.4,1000,200,9,10,48,29,23,16,31,17,13,16,2514.0,10520.457000000002,0.017983198165893555,0.006350040435791016,0.0,6479.542999999998
195,07:09:00,0.4,1000,300,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.022205829620361328,0.010895967483520508,0.0,6832.140000000001
195,07:09:00,0.4,1000,400,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.022358179092407227,0.012430906295776367,0.0,6832.140000000001
195,07:09:00,0.4,1000,500,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.02189493179321289,0.010360956192016602,0.0,6832.140000000001
195,07:09:00,0.4,1000,600,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.022363901138305664,0.011090993881225586,0.0,6832.140000000001
195,07:09:00,0.4,1000,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.022628068923950195,0.011080026626586914,0.0,6832.140000000001
196,16:23:30,0.4,1000,0,6,7,29,0,7,0,29,0,0,0,2060.0,5893.641,0.00023603439331054688,0.0004298686981201172,0.0,-5893.641
196,16:23:30,0.4,1000,100,6,7,29,9,11,5,26,3,4,5,1954.0,7301.508999999998,0.0011630058288574219,0.002629995346069336,0.0,-4301.508999999998
196,16:23:30,0.4,1000,200,6,7,29,20,17,10,14,15,10,10,1954.0,8070.053999999999,0.008599996566772461,0.0245668888092041,0.0,6929.946000000001
196,16:23:30,0.4,1000,300,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009284734725952148,0.02589106559753418,0.0,8929.946
196,16:23:30,0.4,1000,400,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009000778198242188,0.023174047470092773,0.0,8929.946
196,16:23:30,0.4,1000,500,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.00921487808227539,0.024452924728393555,0.0,8929.946
196,16:23:30,0.4,1000,600,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009217023849487305,0.02540302276611328,0.0,8929.946
196,16:23:30,0.4,1000,700,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.008925199508666992,0.022799015045166016,0.0,8929.946
199,16:04:00,0,1000,0,1,2,43,0,2,0,43,0,0,0,3069.0,5573.648,0.00011205673217773438,0.000759124755859375,0.0,-5573.648
199,16:04:00,0,1000,100,1,2,43,4,4,2,42,1,2,2,3025.0,6396.47,0.00033092498779296875,0.0009090900421142578,0.0,-5396.47
199,16:04:00,0,1000,200,1,2,43,29,24,7,25,18,22,7,3025.0,13438.633323138822,0.03550004959106445,0.053021907806396484,0.0,4561.367282618501
199,16:04:00,0,1000,300,1,2,43,33,25,10,16,27,23,10,3069.0,13561.567000000001,0.06363511085510254,0.19543695449829102,0.0,13438.432999999999
199,16:04:00,0,1000,400,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07329821586608887,0.1981818675994873,0.0,15302.023510617044
199,16:04:00,0,1000,500,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07184267044067383,0.1953868865966797,0.0,15302.023510617044
199,16:04:00,0,1000,600,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.0734109878540039,0.1884911060333252,0.0,15302.023510617044
199,16:04:00,0,1000,700,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07447433471679688,0.19523096084594727,0.0,15302.023510617044
192,14:50:30,0.2,1000,0,3,4,53,0,4,0,53,0,0,0,2118.0,6185.912,0.0001811981201171875,0.0008900165557861328,0.0,-6185.912
192,14:50:30,0.2,1000,100,3,4,53,14,13,5,46,7,9,5,2090.0,7702.408000000001,0.0027582645416259766,0.0036640167236328125,6.114513462192004e-08,-702.4080000000013
192,14:50:30,0.2,1000,200,3,4,53,37,22,19,28,25,18,19,2118.0,9095.5,0.04990720748901367,0.08843302726745605,0.0,15904.5
192,14:50:30,0.2,1000,300,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.051828861236572266,0.1459488868713379,0.0,15904.5
192,14:50:30,0.2,1000,400,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05256223678588867,0.14342021942138672,0.0,15904.5
192,14:50:30,0.2,1000,500,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.053465843200683594,0.14028000831604004,0.0,15904.5
192,14:50:30,0.2,1000,600,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.052497148513793945,0.14582204818725586,0.0,15904.5
192,14:50:30,0.2,1000,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.053758859634399414,0.14340591430664062,0.0,15904.5
195,07:09:00,1,1000,0,22,23,48,0,23,0,48,0,0,0,2514.0,9212.719,0.0009322166442871094,0.0006811618804931641,0.0,-9212.719
195,07:09:00,1,1000,100,22,23,48,6,24,5,45,3,1,5,2514.0,9428.221,0.001844167709350586,0.001241922378540039,0.0,-6428.221
195,07:09:00,1,1000,200,22,23,48,23,26,20,35,13,3,20,2459.528901216894,9635.070999999998,0.010320901870727539,0.0023238658905029297,0.0,3364.929000000002
195,07:09:00,1,1000,300,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010685920715332031,0.0017580986022949219,0.0,4364.929000000002
195,07:09:00,1,1000,400,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.011671066284179688,0.0018148422241210938,0.0,4364.929000000002
195,07:09:00,1,1000,500,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.011176824569702148,0.002032041549682617,0.0,4364.929000000002
195,07:09:00,1,1000,600,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010851144790649414,0.0019450187683105469,0.0,4364.929000000002
195,07:09:00,1,1000,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010869979858398438,0.001967906951904297,0.0,4364.929000000002
196,09:57:30,0.4,1000,0,6,7,15,0,7,0,15,0,0,0,1956.0,6708.989,0.0002529621124267578,0.0005240440368652344,0.0,-6708.989
196,09:57:30,0.4,1000,100,6,7,15,4,10,1,13,2,3,1,2020.0,7151.072999999999,0.0004398822784423828,0.0014691352844238281,0.0,-5151.072999999999
196,09:57:30,0.4,1000,200,6,7,15,12,15,4,10,5,8,4,1956.0,7760.951,0.001712799072265625,0.001313924789428711,0.0,-2760.951
196,09:57:30,0.4,1000,300,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.002875089645385742,0.0014541149139404297,0.0,802.2799999999988
196,09:57:30,0.4,1000,400,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.003607034683227539,0.0014100074768066406,0.0,802.2799999999988
