route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1000,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.015329122543334961,0.00969696044921875,0.0,-14581.851999999999
55,18:56:00,0.4,1000,50,11,12,58,2,13,1,57,1,1,1,5139.0,15194.059,0.0005648136138916016,0.002949953079223633,0.0,-14194.059
55,18:56:00,0.4,1000,100,11,12,58,16,23,5,48,10,11,5,5139.0,20034.649,0.0036220550537109375,0.01892995834350586,0.0,-10034.649000000001
55,18:56:00,0.4,1000,150,11,12,58,34,31,15,34,24,19,15,5139.0,22045.01628714207,0.02160501480102539,0.6228790283203125,0.0,1954.9846667461861
55,18:56:00,0.4,1000,200,11,12,58,41,34,19,20,38,22,19,5139.0,22120.745,0.039302825927734375,0.48925280570983887,0.0,15879.255000000001
55,18:56:00,0.4,1000,250,11,12,58,41,35,18,19,39,23,18,5139.0,22378.581,0.04084300994873047,1.1175739765167236,0.0,16621.419
55,18:56:00,0.4,1000,300,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04094290733337402,1.1391980648040771,0.0,16621.419
55,18:56:00,0.4,1000,350,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.0423429012298584,1.1539499759674072,0.0,16621.419
55,18:56:00,0.4,1000,400,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04258894920349121,1.1600890159606934,0.0,16621.419
55,18:56:00,0.4,1000,450,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04186081886291504,1.1386709213256836,0.0,16621.419
55,18:56:00,0.4,1000,500,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04134011268615723,1.1080079078674316,0.0,16621.419
55,18:56:00,0.4,1000,550,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.041172027587890625,1.1201448440551758,0.0,16621.419
55,18:56:00,0.4,1000,600,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.041108131408691406,1.1098558902740479,0.0,16621.419
55,18:56:00,0.4,1000,650,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.042131900787353516,1.1629929542541504,0.0,16621.419
55,18:56:00,0.4,1000,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04120802879333496,1.1319289207458496,0.0,16621.419
195,07:09:00,0.4,1000,0,9,10,48,0,10,0,48,0,0,0,2514.0,7717.884000000001,0.00033402442932128906,0.0004780292510986328,0.0,-7717.884000000001
195,07:09:00,0.4,1000,50,9,10,48,1,11,0,47,1,1,0,2514.0,7765.932000000001,0.0003631114959716797,0.0006771087646484375,0.0,-6765.932000000001
195,07:09:00,0.4,1000,100,9,10,48,9,16,3,44,4,6,3,2509.3167949176823,8653.054000000002,0.0011200904846191406,0.0011019706726074219,0.0,-4653.054000000002
195,07:09:00,0.4,1000,150,9,10,48,25,19,16,35,13,9,16,2514.0,9955.604999999998,0.011518239974975586,0.005398988723754883,0.0,3044.3950000000023
195,07:09:00,0.4,1000,200,9,10,48,29,23,16,31,17,13,16,2514.0,10520.457000000002,0.021027088165283203,0.0063250064849853516,0.0,6479.542999999998
195,07:09:00,0.4,1000,250,9,10,48,29,23,16,31,17,13,16,2514.0,10520.457000000002,0.019535064697265625,0.00616002082824707,0.0,6479.542999999998
195,07:09:00,0.4,1000,300,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.023788928985595703,0.010514020919799805,0.0,6832.140000000001
195,07:09:00,0.4,1000,350,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.024592876434326172,0.012768030166625977,0.0,6832.140000000001
195,07:09:00,0.4,1000,400,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.021615028381347656,0.009406805038452148,0.0,6832.140000000001
195,07:09:00,0.4,1000,450,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.023489952087402344,0.009974956512451172,0.0,6832.140000000001
195,07:09:00,0.4,1000,500,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.02254486083984375,0.00997304916381836,0.0,6832.140000000001
195,07:09:00,0.4,1000,550,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.02246689796447754,0.010473012924194336,0.0,6832.140000000001
195,07:09:00,0.4,1000,600,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.023221969604492188,0.009811878204345703,0.0,6832.140000000001
195,07:09:00,0.4,1000,650,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.0227508544921875,0.05816221237182617,0.0,6832.140000000001
195,07:09:00,0.4,1000,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.02234482765197754,0.01030111312866211,0.0,6832.140000000001
196,16:23:30,0.4,1000,0,6,7,29,0,7,0,29,0,0,0,2060.0,5893.641,0.00025081634521484375,0.0003180503845214844,0.0,-5893.641
196,16:23:30,0.4,1000,50,6,7,29,0,7,0,29,0,0,0,2060.0,5893.641,0.00020885467529296875,0.00025010108947753906,0.0,-5893.641
196,16:23:30,0.4,1000,100,6,7,29,9,11,5,26,3,4,5,1954.0,7301.508999999998,0.0010380744934082031,0.0024001598358154297,0.0,-4301.508999999998
196,16:23:30,0.4,1000,150,6,7,29,18,14,11,18,11,7,11,1954.0,7841.333999999999,0.0057260990142822266,0.020837068557739258,0.0,3158.666000000001
196,16:23:30,0.4,1000,200,6,7,29,20,17,10,14,15,10,10,1954.0,8070.053999999999,0.008404254913330078,0.019526958465576172,0.0,6929.946000000001
196,16:23:30,0.4,1000,250,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009599924087524414,0.020585060119628906,0.0,8929.946
196,16:23:30,0.4,1000,300,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.0090179443359375,0.023485183715820312,0.0,8929.946
196,16:23:30,0.4,1000,350,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009212255477905273,0.021522998809814453,0.0,8929.946
196,16:23:30,0.4,1000,400,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.008969306945800781,0.020627975463867188,0.0,8929.946
196,16:23:30,0.4,1000,450,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.008907079696655273,0.02117300033569336,0.0,8929.946
196,16:23:30,0.4,1000,500,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.008952140808105469,0.02123093605041504,0.0,8929.946
196,16:23:30,0.4,1000,550,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.008953094482421875,0.0207669734954834,0.0,8929.946
196,16:23:30,0.4,1000,600,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009412050247192383,0.022037982940673828,0.0,8929.946
196,16:23:30,0.4,1000,650,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.00907588005065918,0.0210421085357666,0.0,8929.946
196,16:23:30,0.4,1000,700,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.00903773307800293,0.02089691162109375,0.0,8929.946
199,16:04:00,0,1000,0,1,2,43,0,2,0,43,0,0,0,3069.0,5573.648,0.00010395050048828125,0.00030803680419921875,0.0,-5573.648
199,16:04:00,0,1000,50,1,2,43,0,2,0,43,0,0,0,3069.0,5573.648,0.00010395050048828125,0.0002770423889160156,0.0,-5573.648
199,16:04:00,0,1000,100,1,2,43,4,4,2,42,1,2,2,3025.0,6396.47,0.00033593177795410156,0.0006339550018310547,0.0,-5396.47
199,16:04:00,0,1000,150,1,2,43,24,21,5,27,16,19,5,3034.4843861846894,13565.35900000014,0.019990205764770508,0.02502894401550293,0.0,2434.6410000000087
199,16:04:00,0,1000,200,1,2,43,29,24,7,25,18,22,7,3025.0,13438.633323138822,0.035250186920166016,0.045599937438964844,0.0,4561.367282618501
199,16:04:00,0,1000,250,1,2,43,31,23,10,24,19,21,10,3069.0,13438.633,0.04376578330993652,0.1513829231262207,0.0,5561.367
199,16:04:00,0,1000,300,1,2,43,33,25,10,16,27,23,10,3069.0,13561.567000000001,0.08402013778686523,0.17902612686157227,0.0,13438.432999999999
199,16:04:00,0,1000,350,1,2,43,33,25,10,15,28,23,10,3069.0,13561.567,0.07062888145446777,0.15511107444763184,0.0,14438.433
199,16:04:00,0,1000,400,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07254505157470703,0.1818699836730957,0.0,15302.023510617044
199,16:04:00,0,1000,450,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07192707061767578,0.18236112594604492,0.0,15302.023510617044
