route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
187,13:47:00,0.4,1000,700,12,13,40,33,24,22,25,15,11,22,3338.0,12471.777999999975,0.03065013885498047,0.019695043563842773,0.0,2528.2219999998824
191,13:41:30,0.4,1000,700,6,7,22,19,13,13,11,11,6,13,1381.0,5520.904684128705,0.006844043731689453,0.0031709671020507812,0.0,5479.095315871295
192,14:50:30,0.4,1000,700,6,7,53,38,23,22,26,27,16,22,2090.0,9110.018,0.031076908111572266,0.030791044235229492,0.0,17889.982
55,18:56:00,0,1000,700,1,2,58,60,48,14,11,47,46,14,5117.763063707942,22878.448,0.3274672031402588,3.783867120742798,0.0,24121.552
185,07:21:00,0.2,1000,700,5,6,88,61,36,31,40,48,30,31,3527.0,15315.848000000002,0.15208911895751953,0.07863688468933105,0.0,32684.152
55,18:56:00,0.4,1000,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04089713096618652,1.0722601413726807,0.0,16621.419
187,13:47:00,1,1000,700,29,30,37,26,35,21,26,11,5,21,3294.0,13244.141,0.009824991226196289,0.0013849735260009766,0.0,-2244.1409999999996
195,07:09:00,0.4,1000,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.021497011184692383,0.010436058044433594,0.0,6832.140000000001
55,18:56:00,1,1000,700,27,28,62,36,35,29,38,24,7,29,5105.0,20111.424000000003,0.01941704750061035,0.004305124282836914,0.0,3888.5759999999973
155,13:50:00,0.4,1000,700,6,7,30,23,14,16,22,8,7,16,1607.0,6711.464999999999,0.010138750076293945,0.01209878921508789,0.0,1288.5350000000008
192,08:28:00,0.4,1000,700,5,6,34,29,20,15,17,17,14,15,1991.0,8616.979,0.013089179992675781,0.015866994857788086,0.0,8383.021
193,08:16:30,0.2,1000,700,2,3,43,31,15,19,24,19,12,19,1472.0,6456.620999999999,0.044081926345825195,0.03489518165588379,0.0,12543.379
187,16:47:00,0.4,1000,700,12,13,41,38,34,17,18,23,21,17,3320.3512884753072,13864.864,0.025557994842529297,0.01382899284362793,0.0,9135.136
196,16:23:30,0.4,1000,700,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.03460192680358887,0.02420210838317871,0.0,8929.946
55,15:58:00,0.2,1000,700,4,5,72,54,33,26,30,42,28,26,4103.569792412309,16969.285,0.09035277366638184,0.20306992530822754,0.0,25030.715
187,16:47:00,0,1000,700,1,2,45,46,35,13,12,33,33,13,3315.972396206147,14823.722999999998,0.1448078155517578,1.6023170948028564,0.0,18176.277
155,07:44:30,0.4,1000,700,5,6,42,31,21,16,15,27,15,16,1926.0,8488.392999999998,0.03369498252868652,0.04813504219055176,0.0,18511.607000000004
192,14:50:30,1,1000,700,14,15,53,32,22,25,31,22,7,25,2090.0,8517.599,0.014086008071899414,0.0028128623962402344,0.0,13482.401
185,15:27:00,0.2,1000,700,3,4,25,24,19,9,9,16,15,9,2113.0,8946.947,0.012738943099975586,0.008423089981079102,0.0,7053.053
196,09:57:30,0.2,1000,700,3,4,15,17,16,5,5,10,12,5,2020.0,7807.444000000001,0.005242824554443359,0.008859872817993164,0.0,2192.5559999999987
199,13:24:30,0.2,1000,700,4,5,26,29,19,15,13,13,14,15,2990.0,11937.625,0.016380786895751953,0.018344879150390625,0.0,1062.375
193,13:30:30,0.2,1000,700,3,4,48,31,18,17,34,14,14,17,1565.0,6855.272000000001,0.05548095703125,0.013979911804199219,0.0,7144.727999999999
