route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
187,13:47:00,0.4,1000,700,13,40,23,23,31,9,10,2407,12148.023000000001,,0.0004189014434814453,,-3148.023000000001
191,13:41:30,0.4,1000,700,7,22,11,15,16,6,4,1342,5520.9046841287045,,0.00016117095947265625,,479.0953158712955
192,14:50:30,0.4,1000,700,7,53,18,27,39,14,11,1782.1447745168189,8679.931999999999,,0.0005080699920654297,,5320.068000000001
55,18:56:00,0,1000,700,2,58,12,50,52,6,10,0,22648.164,,0.0006341934204101562,,-16648.164
185,07:21:00,0.2,1000,700,6,88,17,50,81,7,11,3157,13834.739000000001,,0.0009479522705078125,,-6834.739000000001
55,18:56:00,0.4,1000,700,12,58,25,29,48,10,13,5020,20430.762,,0.0007319450378417969,,-10430.761999999999
187,13:47:00,1,1000,700,30,37,30,26,30,7,0,3289,12328.012,,0.0002372264862060547,,-5328.012000000001
195,07:09:00,0.4,1000,700,10,48,14,27,40,8,4,1280,8706.835,,0.0003466606140136719,,-706.8349999999991
55,18:56:00,1,1000,700,28,62,29,35,46,16,1,5020,19106.27,,0.00038886070251464844,,-3106.2700000000004
155,13:50:00,0.4,1000,700,7,30,12,18,25,5,5,1501.1828471725166,6313.3859999999995,,0.00023818016052246094,,-1313.3859999999995
192,08:28:00,0.4,1000,700,6,34,14,21,28,6,8,1432,7562.016,,0.00026679039001464844,,-1562.0159999999996
193,08:16:30,0.2,1000,700,3,43,5,29,38,5,2,1266,6229.558,,0.00019025802612304688,,-1229.558
187,16:47:00,0.4,1000,700,13,41,23,28,27,14,10,2515,12000.963,,0.0004990100860595703,,1999.0370000000003
196,16:23:30,0.4,1000,700,7,29,12,15,22,7,5,1562,7721.189,,0.000225067138671875,,-721.1890000000003
55,15:58:00,0.2,1000,700,5,72,25,34,54,18,20,3625,17478.774999999998,,0.0016181468963623047,,521.2250000000022
187,16:47:00,0,1000,700,2,45,7,41,42,3,5,0,14005.020000000002,,0.00026702880859375,,-11005.020000000002
155,07:44:30,0.4,1000,700,6,42,13,24,37,5,7,1770,7305.236,,0.00039196014404296875,,-2305.236
192,14:50:30,1,1000,700,15,53,18,29,37,16,3,1782.1447745168261,8057.095,,0.0002760887145996094,,7942.905
185,15:27:00,0.2,1000,700,4,25,10,18,19,6,6,2021,8050.668,,0.0001609325408935547,,-2050.6679999999997
196,09:57:30,0.2,1000,700,4,15,9,12,11,4,5,1242,7687.282,,0.00010514259338378906,,-3687.282
199,13:24:30,0.2,1000,700,5,26,15,19,19,7,10,2873,12742.926,,0.00028586387634277344,,-5742.9259999999995
193,13:30:30,0.2,1000,700,4,48,12,23,40,8,8,1494,6832.702,,0.0006959438323974609,,1167.2979999999998
187,16:47:00,1,1000,700,30,46,30,25,34,12,0,3289,12328.012,,0.0002739429473876953,,-328.0120000000006
155,13:50:00,0.2,1000,700,4,31,13,19,24,7,9,1388,6756.814,,0.0002548694610595703,,243.1859999999997
193,08:16:30,1,1000,700,14,44,13,25,32,12,-1,1370,5418.034000000001,,0.00013518333435058594,,6581.965999999999
193,13:30:30,1,1000,700,15,48,15,22,40,8,0,1494,5866.755,,0.00022220611572265625,,2133.245
192,08:28:00,1,1000,700,13,34,14,22,24,10,1,1828,7236.521,,0.000171661376953125,,2763.4790000000003
194,07:10:00,0,1000,700,2,51,8,28,46,5,6,0.0,10470.628,,0.00034809112548828125,,-5470.628000000001
