route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
187,13:47:00,0.4,1000,700,13,40,21,25,30,10,8,2407,11993.587,,5.2928924560546875e-05,,-1993.5869999999995
191,13:41:30,0.4,1000,700,7,22,9,17,15,7,2,1342,5520.9046841287045,,2.9087066650390625e-05,,1479.0953158712955
192,14:50:30,0.4,1000,700,7,53,12,33,38,15,5,1782.1447745168189,8117.15,,5.2928924560546875e-05,,6882.85
55,18:56:00,0,1000,700,2,58,9,53,51,7,7,0,20784.577999999998,,7.295608520507812e-05,,-13784.577999999998
185,07:21:00,0.2,1000,700,6,88,16,51,79,9,10,3157,14194.437000000002,,0.00010085105895996094,,-5194.437000000002
55,18:56:00,0.4,1000,700,12,58,23,31,42,16,11,5020,20435.112,,7.224082946777344e-05,,-4435.112000000001
187,13:47:00,1,1000,700,30,37,30,26,29,8,0,3289,12328.012,,4.982948303222656e-05,,-4328.012000000001
195,07:09:00,0.4,1000,700,10,48,14,27,38,10,4,1280,8706.835,,6.198883056640625e-05,,1293.1650000000009
55,18:56:00,1,1000,700,28,62,28,36,46,16,0,5020,19106.27,,6.198883056640625e-05,,-3106.2700000000004
155,13:50:00,0.4,1000,700,7,30,8,22,26,4,1,1500,5972.5650000000005,,3.504753112792969e-05,,-1972.5650000000005
192,08:28:00,0.4,1000,700,6,34,14,21,23,11,8,1432,7805.101999999999,,4.1961669921875e-05,,3194.898000000001
193,08:16:30,0.2,1000,700,3,43,7,27,31,12,4,1275.31724230494,6351.574,,4.887580871582031e-05,,5648.426
187,16:47:00,0.4,1000,700,13,41,18,33,29,12,5,2515,12000.963,,5.1975250244140625e-05,,-0.9629999999997381
196,16:23:30,0.4,1000,700,7,29,12,15,15,14,5,1562,7721.189,,3.600120544433594e-05,,6278.811
55,15:58:00,0.2,1000,700,5,72,18,41,57,15,13,3625,17212.64,,8.296966552734375e-05,,-2212.6399999999994
187,16:47:00,0,1000,700,2,45,8,40,39,6,6,0.0,14758.765000000001,,5.7697296142578125e-05,,-8758.765000000001
155,07:44:30,0.4,1000,700,6,42,8,29,39,3,2,1770,7544.411,,4.57763671875e-05,,-4544.411
192,14:50:30,1,1000,700,15,53,18,29,33,20,3,1782.1447745168261,8057.095,,4.9114227294921875e-05,,11942.904999999999
185,15:27:00,0.2,1000,700,4,25,9,19,18,7,5,2021,8194.461,,3.218650817871094e-05,,-1194.4609999999993
