route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1000,700,12,58,17,22,54,4,5,6206.33774755428,17050.415,,0.0005328655242919922,,-13050.415
195,07:09:00,0.4,1000,700,10,48,16,15,36,12,6,2097.8154154736367,9982.084,,0.0002789497375488281,,2017.9159999999993
196,16:23:30,0.4,1000,700,7,29,9,12,24,5,2,1921.0107447506525,6803.287,,0.00011706352233886719,,-1803.2870000000003
199,16:04:00,0,1000,700,2,43,4,23,41,2,2,0.0,9325.216000000002,,0.0002219676971435547,,-7325.216000000002
192,14:50:30,0.2,1000,700,4,53,15,10,34,19,11,2297.7564572894335,9147.614,,0.0003178119659423828,,9852.386
195,07:09:00,1,1000,700,23,48,24,11,18,30,1,3834.6149486995964,9936.379,,0.00016832351684570312,,20063.621
196,09:57:30,0.4,1000,700,7,15,9,7,13,2,2,2265.126103555238,7036.397,,9.512901306152344e-05,,-5036.397
155,07:44:30,0.2,1000,700,3,45,8,19,40,5,5,1650.5349484013313,6455.957000000001,,0.0003650188446044922,,-1455.9570000000012
55,15:58:00,0.4,1000,700,10,71,21,17,42,29,11,4219.906883798612,13922.77,,0.0005340576171875,,15077.23
196,16:23:30,0.2,1000,700,4,29,7,13,25,4,3,1666.3697208303565,6996.451,,0.00020313262939453125,,-2996.451
195,07:09:00,0,1000,700,2,48,6,25,44,4,4,0.0,6581.007,,0.0003261566162109375,,-2581.0069999999996
199,16:04:00,1,1000,700,20,43,22,6,10,33,2,4797.591192436172,11861.190999999997,,0.000148773193359375,,21138.809
55,18:56:00,0.2,1000,700,6,58,13,24,54,4,7,3869.3160418157786,18408.414,,0.0003879070281982422,,-14408.414
195,07:09:00,0.2,1000,700,5,48,12,19,38,10,7,1388.4347933070858,9480.22,,0.0004570484161376953,,519.7800000000007
196,09:57:30,0.2,1000,700,4,15,11,3,9,6,7,2041.4886363636324,8698.89,,8.916854858398438e-05,,-2698.8899999999994
155,07:44:30,0.4,1000,700,6,45,10,16,40,5,4,1866.6084392149824,6570.066000000001,,0.00035309791564941406,,-1570.0660000000007
55,15:58:00,0.2,1000,700,5,71,17,19,55,16,12,3598.666800882842,14135.956,,0.0005121231079101562,,1864.0439999999999
192,14:50:30,0.4,1000,700,7,53,15,10,31,22,8,2671.9938857074594,8692.903999999999,,0.00019097328186035156,,13307.096000000001
194,15:17:30,1,1000,700,23,47,24,10,22,25,1,3689.2199206633304,9042.614999999998,,0.00019812583923339844,,15957.385000000002
185,15:27:00,1,1000,700,18,26,18,8,7,19,0,3309.497062157003,8201.27,,7.605552673339844e-05,,10798.73
198,10:24:30,0,1000,700,2,17,8,4,12,5,6,0.0,4204.201,,8.0108642578125e-05,,795.799
191,07:22:00,0,1000,700,2,31,5,13,27,4,3,0.0,6942.2717348960905,,0.0001342296600341797,,-2942.2717348960905
