route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1000,700,12,58,25,29,48,10,13,5020,20430.762,,0.0007429122924804688,,-10430.761999999999
195,07:09:00,0.4,1000,700,10,48,14,27,40,8,4,1280,8706.835,,0.0003638267517089844,,-706.8349999999991
196,16:23:30,0.4,1000,700,7,29,12,15,22,7,5,1562,7721.189,,0.0002300739288330078,,-721.1890000000003
199,16:04:00,0,1000,700,2,43,11,24,38,5,9,0,13519.553000000004,,0.0003228187561035156,,-8519.553000000004
192,14:50:30,0.2,1000,700,4,53,14,28,45,8,10,1686,8472.772,,0.0004940032958984375,,-472.77200000000084
195,07:09:00,1,1000,700,23,48,23,24,38,10,0,2242,9212.719,,0.0002601146697998047,,787.2810000000009
196,09:57:30,0.4,1000,700,7,15,13,9,11,4,6,1383,7416.648999999999,,0.00010538101196289062,,-3416.6489999999994
155,07:44:30,0.2,1000,700,3,45,8,28,42,3,5,1770,8220.738000000001,,0.0002942085266113281,,-5220.738000000001
55,15:58:00,0.4,1000,700,10,71,23,37,57,14,13,3922,16683.932,,0.0011699199676513672,,-2683.9320000000007
196,16:23:30,0.2,1000,700,4,29,11,15,23,6,7,1562,7465.038999999999,,0.0002880096435546875,,-1465.0389999999989
195,07:09:00,0,1000,700,2,48,11,29,41,7,9,0.0,10984.898000000001,,0.00043702125549316406,,-3984.898000000001
199,16:04:00,1,1000,700,20,43,21,17,29,14,1,2913,11726.500999999998,,0.00023508071899414062,,2273.4990000000016
195,07:09:00,0.2,1000,700,5,48,15,25,37,11,10,715.3603256979186,10739.838,,0.00048470497131347656,,260.16200000000026
196,09:57:30,0.2,1000,700,4,15,13,7,8,7,9,1242,7873.023,,0.00013113021850585938,,-873.0230000000001
155,07:44:30,0.4,1000,700,6,45,9,27,42,3,3,1770,7785.648,,0.0003540515899658203,,-4785.648
55,15:58:00,0.2,1000,700,5,71,19,39,58,13,14,3625,16832.829999999998,,0.0009562969207763672,,-3832.829999999998
192,14:50:30,0.4,1000,700,7,53,16,27,45,8,9,1793.5560576234711,8432.369999999999,,0.0003800392150878906,,-432.369999999999
194,15:17:30,1,1000,700,23,48,23,17,31,17,0,2247,8774.130999999998,,0.00023293495178222656,,8225.869000000002
185,15:27:00,1,1000,700,18,26,17,19,23,3,-1,2021,7930.444000000001,,0.00011587142944335938,,-4930.444000000001
198,10:24:30,0,1000,700,2,17,4,15,15,2,2,0,3210.6339999999996,,8.797645568847656e-05,,-1210.6339999999996
191,07:22:00,0,1000,700,2,31,6,20,26,5,4,0,5608.0447348960915,,0.000164031982421875,,-608.0447348960915
195,13:21:00,0,1000,700,2,40,11,33,34,6,9,0,10814.443999999998,,0.0004189014434814453,,-4814.443999999998
194,15:17:30,0.2,1000,700,5,48,16,17,40,8,11,1652,9717.309000000001,,0.0006160736083984375,,-1717.309000000001
198,19:44:00,0.4,1000,700,4,23,7,10,15,8,3,663.8587598425074,3567.585,,0.00010180473327636719,,4432.415
191,13:41:30,0,1000,700,2,23,3,17,22,1,1,0.0,6261.195684128704,,7.891654968261719e-05,,-5261.195684128704
198,10:24:30,0.4,1000,700,4,17,5,14,16,1,1,290,2855.712,,7.510185241699219e-05,,-1855.712
155,07:44:30,1,1000,700,13,45,12,25,41,4,-1,1770,7060.512,,0.00016498565673828125,,-3060.5119999999997
155,07:44:30,0,1000,700,2,45,5,31,43,2,3,0,7686.358000000001,,0.00022602081298828125,,-5686.358000000001
191,13:41:30,1,1000,700,15,23,14,12,18,5,-1,1342,5202.024684128705,,7.390975952148438e-05,,-202.0246841287053
198,10:24:30,0.2,1000,700,3,17,4,15,16,1,1,290,2855.712,,7.390975952148438e-05,,-1855.712
198,10:24:30,1,1000,700,8,17,8,12,15,2,0,677,2855.712,,8.487701416015625e-05,,-855.712
195,13:21:00,1,1000,700,23,40,23,27,33,7,0,2302,9334.202999999998,,0.00021982192993164062,,-2334.2029999999977
191,07:22:00,1,1000,700,14,31,15,13,22,9,1,1255,5095.854734896091,,0.0001327991485595703,,3904.145265103909
194,15:17:30,0,1000,700,2,48,11,22,41,7,9,0,10128.859,,0.0004730224609375,,-3128.8590000000004
198,19:44:00,0.2,1000,700,2,23,7,10,18,5,5,0,4049.575,,0.0001468658447265625,,950.4250000000002
194,15:17:30,0.4,1000,700,10,48,19,16,34,14,9,2004,9058.17,,0.0005168914794921875,,4941.83
185,15:27:00,0,1000,700,2,26,6,25,23,3,4,0,8131.927000000001,,0.00017690658569335938,,-5131.927000000001
195,13:21:00,0.2,1000,700,5,40,14,31,32,8,9,2130.006755547598,9959.598000000002,,0.00042510032653808594,,-1959.5980000000018
194,07:10:00,0.2,1000,700,5,51,16,22,42,9,11,2081.6619094488233,9920.416,,0.0004100799560546875,,-920.4159999999993
55,15:58:00,0,1000,700,2,71,15,43,63,8,13,0.0,18310.275999999998,,0.0008990764617919922,,-10310.275999999998
199,13:24:30,0,1000,700,2,30,9,26,25,5,7,0.0,13376.005999999998,,0.000247955322265625,,-8376.005999999998
196,09:57:30,1,1000,700,15,15,16,9,11,4,1,1696,7393.784,,0.00010085105895996094,,-3393.7839999999997
185,07:21:00,1,1000,700,29,89,29,35,56,33,0,3318,13090.721000000003,,0.00041294097900390625,,19909.278999999995
191,07:22:00,0.2,1000,700,3,31,10,17,23,8,7,456,5866.351734896091,,0.0002372264862060547,,2133.6482651039087
199,16:04:00,0.4,1000,700,9,43,14,22,39,4,5,2913,11661.967,,0.0003142356872558594,,-7661.967000000001
193,13:30:30,1,1000,700,15,48,14,23,35,13,-1,1494,5866.755,,0.00014591217041015625,,7133.245
193,13:30:30,0.2,1000,700,4,48,8,26,44,4,4,1494,6412.7880000000005,,0.0003600120544433594,,-2412.7880000000005
199,13:24:30,0.2,1000,700,5,30,15,20,22,8,10,2873,11988.827000000001,,0.00039768218994140625,,-3988.827000000001
192,14:50:30,1,1000,700,15,53,18,27,43,10,3,1793.5560576234711,8006.081999999999,,0.00028228759765625,,1993.9180000000006
187,16:47:00,0.4,1000,700,13,43,27,30,29,14,14,2515,13098.37,,0.0005869865417480469,,901.6299999999992
187,13:47:00,1,1000,700,30,38,31,26,24,14,1,3289,12328.012,,0.00023698806762695312,,1671.9879999999994
185,07:21:00,0.2,1000,700,6,89,26,34,75,14,20,3167.148040443808,15001.357999999998,,0.0010950565338134766,,-1001.3579999999984
191,13:41:30,0.4,1000,700,7,23,9,12,18,5,2,1342,5572.691684128705,,0.00012683868408203125,,-572.6916841287048
187,13:47:00,0,1000,700,2,38,11,35,32,6,9,0,12427.227999999997,,0.000308990478515625,,-6427.227999999997
191,07:22:00,0.4,1000,700,6,31,12,15,23,8,6,1194,5311.019734896091,,0.00023674964904785156,,2688.980265103909
199,16:04:00,0.2,1000,700,5,43,14,21,37,6,9,2370,13055.616000000002,,0.00035881996154785156,,-7055.616000000002
195,13:21:00,0.4,1000,700,10,40,20,26,29,11,10,2130.006755547598,9490.523,,0.0003972053527832031,,1509.4770000000008
194,07:10:00,0.4,1000,700,10,51,17,22,42,9,7,2236,8985.440999999999,,0.0003829002380371094,,14.559000000001106
192,14:50:30,0,1000,700,2,53,10,32,47,6,8,0,9089.316,,0.0005099773406982422,,-3089.3160000000007
185,07:21:00,0,1000,700,2,89,11,49,83,6,9,0.0,15368.091999999999,,0.0008120536804199219,,-9368.091999999999
196,09:57:30,0,1000,700,2,15,7,13,12,3,5,0.0,8768.177,,7.605552673339844e-05,,-5768.177
193,13:30:30,0,1000,700,2,48,8,26,43,5,6,0,6935.472,,0.0003139972686767578,,-1935.4719999999998
185,07:21:00,0.4,1000,700,12,89,25,35,77,12,13,3318,13545.376,,0.0011241436004638672,,-1545.3760000000002
191,13:41:30,0.2,1000,700,4,23,10,11,18,5,6,1281.5378937007845,6109.509684128705,,0.00017786026000976562,,-1109.509684128705
193,13:30:30,0.4,1000,700,7,48,13,22,38,10,6,1494,6669.491,,0.0004360675811767578,,3330.509
199,13:24:30,0.4,1000,700,9,30,17,19,21,9,8,2873,11962.946,,0.00041985511779785156,,-2962.946
199,13:24:30,1,1000,700,20,30,21,19,21,9,1,2873,11245.678,,0.00018978118896484375,,-2245.678
187,16:47:00,0.2,1000,700,7,43,23,31,30,13,16,2284,12763.953,,0.0005400180816650391,,236.04700000000048
55,15:58:00,1,1000,700,23,71,24,39,59,12,1,3922,15309.040000000003,,0.0004661083221435547,,-3309.0400000000027
187,16:47:00,1,1000,700,30,43,31,33,33,10,1,3289,12328.012,,0.0003371238708496094,,-2328.0120000000006
185,15:27:00,0.2,1000,700,4,26,9,22,21,5,5,2021,8291.306,,0.00021195411682128906,,-3291.3060000000005
192,08:28:00,0.4,1000,700,6,33,10,21,29,4,4,1432,6872.243,,0.00020003318786621094,,-2872.2430000000004
55,18:56:00,1,1000,700,28,58,29,33,42,16,1,5020,19099.205000000005,,0.0003650188446044922,,-3099.2050000000054
193,08:16:30,0.4,1000,700,6,43,11,20,36,7,5,1266,5843.174999999999,,0.00023412704467773438,,1156.8250000000007
198,19:44:00,1,1000,700,8,23,8,9,11,12,0,663.8587598425074,3567.585,,6.985664367675781e-05,,8432.415
155,13:50:00,1,1000,700,15,32,14,22,27,5,-1,1500,6044.251000000001,,0.00012874603271484375,,-1044.251000000001
187,13:47:00,0.2,1000,700,7,38,22,26,24,14,15,2284,12536.755000000001,,0.0004050731658935547,,1463.244999999999
196,16:23:30,0,1000,700,2,29,8,17,25,4,6,0.0,8838.977,,0.00020384788513183594,,-4838.977000000001
194,07:10:00,0,1000,700,2,51,5,33,49,2,3,0,10229.257000000001,,0.00025582313537597656,,-8229.257000000001
192,08:28:00,1,1000,700,13,33,12,19,20,13,-1,1828,7236.521,,7.915496826171875e-05,,5763.479
155,13:50:00,0.2,1000,700,4,32,9,21,28,4,5,1393.5466624910478,6980.316000000001,,0.00019621849060058594,,-2980.3160000000007
193,08:16:30,1,1000,700,14,43,13,19,32,11,-1,1370,5418.034000000001,,0.0001289844512939453,,5581.965999999999
196,16:23:30,1,1000,700,15,29,16,13,22,7,1,1786.6069255547627,7484.485,,0.00011801719665527344,,-484.4849999999997
155,13:50:00,0,1000,700,2,32,3,27,31,1,1,0,5085.976,,0.00015306472778320312,,-4085.9759999999997
