route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
55,18:56:00,0.4,1000,700,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.034203290939331055,0.08041501045227051,0.0,-1616.3409999999967
195,07:09:00,0.4,1000,700,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.008563041687011719,0.0041599273681640625,0.0,27051.08
196,16:23:30,0.4,1000,700,6,7,29,14,12,9,14,15,5,9,2893.0,8353.595,0.0058441162109375,0.04445910453796387,0.0,6646.405000000001
199,16:04:00,0,1000,700,1,2,43,25,24,3,2,41,22,3,3467.6622151634438,13287.288999999999,0.04185199737548828,0.011988162994384766,0.0,27712.711000000003
192,14:50:30,0.2,1000,700,3,4,53,21,23,2,2,51,19,2,3108.0,10855.734999999999,0.020151853561401367,0.04027199745178223,0.0,40144.265
195,07:09:00,1,1000,700,22,23,48,12,29,6,6,42,6,6,4214.0,11736.784,0.00550389289855957,0.0023910999298095703,0.0,30263.216
196,09:57:30,0.4,1000,700,6,7,15,9,14,2,3,12,7,2,2791.0,9795.826,0.001608133316040039,0.02583599090576172,0.0,2204.174000000001
155,07:44:30,0.2,1000,700,2,3,45,24,12,15,35,10,9,15,1795.0008574922467,6878.033,0.022557973861694336,0.015902996063232422,0.0,3121.9669999999996
55,15:58:00,0.4,1000,700,9,10,71,28,30,8,17,54,20,8,4390.138846635644,16644.606,0.017637252807617188,0.04583597183227539,0.0,37355.394
196,16:23:30,0.2,1000,700,3,4,29,16,16,4,4,25,12,4,2557.0,9581.375,0.006189107894897461,0.011249065399169922,0.0,15418.625
195,07:09:00,0,1000,700,1,2,48,29,21,10,10,38,19,10,2615.0,9980.453,0.06324410438537598,0.14083290100097656,0.0,28019.547
199,16:04:00,1,1000,700,19,20,43,8,25,3,3,40,5,3,5004.922855523735,12731.883999999996,0.0038259029388427734,0.0010528564453125,0.0,27268.116
55,18:56:00,0.2,1000,700,5,6,58,31,18,19,46,12,12,19,6490.0,14627.29,0.03168678283691406,0.15308189392089844,0.0,-2627.290000000001
195,07:09:00,0.2,1000,700,4,5,48,26,15,16,31,17,10,16,3168.0,9976.908,0.018539905548095703,0.07329988479614258,0.0,7023.092000000001
196,09:57:30,0.2,1000,700,3,4,15,10,14,0,0,15,10,0,2348.421886184682,8676.52,0.002051830291748047,0.0009279251098632812,0.0,6323.48
155,07:44:30,0.4,1000,700,5,6,45,20,12,14,34,11,6,14,1789.2447133738933,5633.118,0.013635873794555664,0.004024982452392578,0.0,5366.882
55,15:58:00,0.2,1000,700,4,5,71,31,26,10,16,55,21,10,5282.0,17213.758,0.03737497329711914,0.04390215873718262,0.0,37786.242
192,14:50:30,0.4,1000,700,6,7,53,18,20,5,5,48,13,5,3092.491857551897,9809.738,0.009465932846069336,0.004697084426879883,0.0,38190.262
194,15:17:30,1,1000,700,22,23,48,11,30,4,8,40,7,4,3800.0,11169.848999999998,0.005421161651611328,0.0013439655303955078,0.0,28830.151
185,15:27:00,1,1000,700,17,18,26,8,23,3,3,23,5,3,3484.5553939990423,10057.104999999998,0.002828836441040039,0.001043081283569336,0.0,12942.895000000002
198,10:24:30,0,1000,700,1,2,17,10,12,0,0,17,10,0,1161.2313215819595,4449.573,0.003687143325805664,0.0013210773468017578,0.0,12550.427
191,07:22:00,0,1000,700,1,2,31,16,17,1,1,30,15,1,2175.85101050885,8337.363734896091,0.01379084587097168,0.0024728775024414062,0.0,21662.63626510391
195,13:21:00,0,1000,700,1,2,40,31,19,14,12,28,17,14,2585.0,9856.329,0.09325385093688965,0.1497042179107666,0.0,18143.671000000002
194,15:17:30,0.2,1000,700,4,5,48,26,19,12,38,10,14,12,4371.0,10851.501999999999,0.019196033477783203,0.026209115982055664,0.0,-851.5019999999986
198,19:44:00,0.4,1000,700,3,4,23,12,15,1,1,22,11,1,1601.3410805893363,6135.973,0.0029549598693847656,0.0014729499816894531,0.0,15864.027
191,13:41:30,0,1000,700,1,2,23,13,14,1,1,22,12,1,1714.017082323022,6567.721684128705,0.008586883544921875,0.002794027328491211,0.0,15432.278315871295
198,10:24:30,0.4,1000,700,3,4,17,8,11,1,1,16,7,1,1355.9001506203786,4449.573,0.0015521049499511719,0.0014541149139404297,0.0,11550.427
155,07:44:30,1,1000,700,12,13,45,13,21,5,7,38,8,5,3007.0,10756.883,0.004457950592041016,0.0029048919677734375,0.0,27243.117
155,07:44:30,0,1000,700,1,2,45,25,26,1,1,44,24,1,2673.264622106897,10243.339,0.04427313804626465,0.005605936050415039,0.0,33756.661
191,13:41:30,1,1000,700,14,15,23,5,17,3,4,19,2,3,2219.0,5535.810684128705,0.002119779586791992,0.0006248950958251953,0.0,13464.189315871296
198,10:24:30,0.2,1000,700,2,3,17,9,12,0,0,17,9,0,1161.2313215819595,4449.573,0.0019330978393554688,0.0007319450378417969,0.0,12550.427
198,10:24:30,1,1000,700,7,8,17,4,10,2,2,15,2,2,1350.9999999999927,3865.7749999999996,0.0009050369262695312,0.0007500648498535156,0.0,11134.225
195,13:21:00,1,1000,700,22,23,40,13,31,5,3,37,8,5,4198.532808398952,12658.089000000002,0.0056688785552978516,0.0040209293365478516,0.0,24341.911
191,07:22:00,1,1000,700,13,14,31,5,15,4,6,25,1,4,2197.0,5613.634734896091,0.0021948814392089844,0.0007748603820800781,0.0,19386.36526510391
194,15:17:30,0,1000,700,1,2,48,29,31,0,0,48,29,0,3909.0,13135.418,0.08774089813232422,0.015314102172851562,0.0,34864.582
198,19:44:00,0.2,1000,700,1,2,23,14,16,0,0,23,14,0,1643.0977466595068,6295.974999999999,0.008353948593139648,0.014317989349365234,0.0,16704.025
194,15:17:30,0.4,1000,700,9,10,48,21,25,6,10,38,15,6,3326.0,10278.422999999997,0.007740974426269531,0.0028488636016845703,0.0,27721.577000000005
185,15:27:00,0,1000,700,1,2,26,22,22,2,2,24,20,2,2778.761781197798,10647.579999999998,0.02103400230407715,0.0037419795989990234,0.0,13352.420000000002
195,13:21:00,0.2,1000,700,4,5,40,30,23,12,12,28,18,12,3163.0,11908.114,0.0192258358001709,0.17292213439941406,0.0,16091.886
194,07:10:00,0.2,1000,700,4,5,51,23,27,1,1,50,22,1,3922.2985787998114,14917.774999999996,0.018139123916625977,0.03762006759643555,0.0,35082.225000000006
55,15:58:00,0,1000,700,1,2,71,34,34,2,1,70,32,2,5470.0,17980.696000000007,0.12353897094726562,0.073577880859375,3.881892255520805e-05,52019.30399999999
199,13:24:30,0,1000,700,1,2,30,23,23,2,4,26,21,2,3420.3684234073007,13106.069999999998,0.026569128036499023,0.004966020584106445,0.0,12893.930000000002
196,09:57:30,1,1000,700,14,15,15,4,19,0,0,15,4,0,3353.8571492483898,9544.195000000002,0.0012989044189453125,0.0007150173187255859,0.0,5455.8049999999985
185,07:21:00,1,1000,700,28,29,89,19,43,5,6,83,14,5,5812.809979718444,19837.02,0.014284849166870117,0.005330085754394531,0.0,63162.979999999996
191,07:22:00,0.2,1000,700,2,3,31,15,16,2,2,29,13,2,2350.0320681323356,9004.785734896092,0.007036924362182617,0.01904296875,0.0,19995.21426510391
199,16:04:00,0.4,1000,700,8,9,43,16,23,2,6,37,14,2,4216.031302195181,14402.244,0.00875997543334961,0.001569986343383789,0.0,22597.756
193,13:30:30,1,1000,700,14,15,48,9,19,5,11,37,4,5,2548.0,7692.413000000001,0.0039250850677490234,0.0009548664093017578,0.0,29307.587
193,13:30:30,0.2,1000,700,3,4,48,20,12,12,29,19,8,12,1780.516173049371,6822.531,0.038864850997924805,0.002863168716430664,0.0,12177.469000000001
199,13:24:30,0.2,1000,700,4,5,30,21,20,6,10,20,15,6,4280.946708721065,15182.430000000002,0.007941007614135742,0.004490852355957031,0.0,4817.569999999998
192,14:50:30,1,1000,700,14,15,53,11,23,3,3,50,8,3,3406.0,10356.211,0.005652904510498047,0.0014519691467285156,0.0,39643.789000000004
187,16:47:00,0.4,1000,700,12,13,43,21,28,6,6,37,15,6,4785.0,17568.203,0.009307146072387695,0.0076160430908203125,0.0,19431.797
187,13:47:00,1,1000,700,29,30,38,12,39,3,3,35,9,3,5367.0,14648.649999999998,0.005559206008911133,0.002783060073852539,0.0,20351.350000000002
185,07:21:00,0.2,1000,700,5,6,89,39,39,6,7,82,33,6,4985.909873836536,19104.867000000002,0.054017066955566406,0.06101703643798828,0.0,62895.133
191,13:41:30,0.4,1000,700,6,7,23,8,8,7,14,9,1,7,2048.916234192271,7448.933684128705,0.0022759437561035156,0.011368989944458008,0.0,1551.066315871295
187,13:47:00,0,1000,700,1,2,38,30,28,4,5,33,26,4,3369.0,12508.975999999997,0.052989959716796875,0.11635589599609375,0.0,20491.024000000005
191,07:22:00,0.4,1000,700,5,6,31,12,17,1,1,30,11,1,2406.1378006544037,8796.82973489609,0.0036089420318603516,0.001428842544555664,0.0,21203.17026510391
199,16:04:00,0.2,1000,700,4,5,43,21,17,9,29,14,12,9,3435.518551658308,12522.215999999999,0.011359214782714844,0.011471986770629883,0.0,1477.7840000000015
195,13:21:00,0.4,1000,700,9,10,40,25,28,7,6,34,18,7,3454.107768134105,12934.312999999998,0.013469934463500977,0.023954153060913086,0.0,21065.687
194,07:10:00,0.4,1000,700,9,10,51,19,19,10,19,32,9,10,3334.3345412789313,9517.487999999998,0.01393890380859375,0.08100509643554688,0.0,22482.512000000002
192,14:50:30,0,1000,700,1,2,53,24,23,3,3,50,21,3,2507.0,9600.11,0.047894954681396484,0.0166168212890625,0.0,40399.89
185,07:21:00,0,1000,700,1,2,89,45,46,1,2,87,44,1,4967.457572774994,19034.162000000004,0.2633037567138672,0.020338058471679688,0.0,67965.83799999999
196,09:57:30,0,1000,700,1,2,15,10,4,8,13,2,2,8,875.0,2883.167,0.0033216476440429688,0.0037429332733154297,0.0,-883.1669999999999
193,13:30:30,0,1000,700,1,2,48,21,22,1,1,47,20,1,2420.812716237182,9276.000999999998,0.0330653190612793,0.003932952880859375,0.0,37723.999
185,07:21:00,0.4,1000,700,11,12,89,32,33,11,43,46,21,11,5253.0,18245.326999999997,0.03383302688598633,0.2418689727783203,0.0,27754.673000000003
191,13:41:30,0.2,1000,700,3,4,23,11,9,6,15,8,5,6,2956.0,5883.4766841287055,0.003092050552368164,0.0019559860229492188,0.0,2116.5233158712945
193,13:30:30,0.4,1000,700,6,7,48,17,16,8,18,30,9,8,2464.0,9320.221999999998,0.007463932037353516,0.031105995178222656,0.0,20679.778000000002
199,13:24:30,0.4,1000,700,8,9,30,16,23,2,5,25,14,2,3882.977809591983,14730.829000000003,0.005040168762207031,0.0027608871459960938,0.0,10269.170999999997
199,13:24:30,1,1000,700,19,20,30,10,26,4,5,25,6,4,4871.0,12604.350999999999,0.0035991668701171875,0.0013289451599121094,0.0,12395.649000000001
187,16:47:00,0.2,1000,700,6,7,43,26,31,2,2,41,24,2,4835.470107074689,18376.989,0.012547969818115234,0.015349864959716797,0.0,22623.011
55,15:58:00,1,1000,700,22,23,71,18,30,11,19,52,7,11,6750.198930744453,18364.22,0.011098146438598633,0.003498077392578125,8.380956231736393e-05,33635.78
187,16:47:00,1,1000,700,29,30,43,10,36,4,4,39,6,4,5367.0,14322.462999999998,0.005442142486572266,0.0015408992767333984,0.0,24677.537000000004
185,15:27:00,0.2,1000,700,3,4,26,20,20,4,4,22,16,4,3860.0,11010.146,0.011052608489990234,0.008450984954833984,0.0,10989.854
192,08:28:00,0.4,1000,700,5,6,33,16,21,1,1,32,15,1,2906.015613815318,11130.926,0.00562286376953125,0.004108905792236328,0.0,20869.074
55,18:56:00,1,1000,700,27,28,58,15,39,4,3,55,11,4,8422.927433786681,23161.205,0.009154081344604492,0.0017850399017333984,0.0,31838.795
193,08:16:30,0.4,1000,700,5,6,43,16,19,3,4,39,13,3,2648.0,9072.551999999998,0.007520914077758789,0.004248857498168945,0.0,29927.448000000004
198,19:44:00,1,1000,700,7,8,23,8,14,2,2,21,6,2,1586.6349394535791,5346.971,0.001795053482055664,0.0014538764953613281,0.0,15653.029
155,13:50:00,1,1000,700,14,15,32,10,22,3,4,28,7,3,2614.4566034359377,8002.855000000001,0.0030210018157958984,0.0034928321838378906,0.0,19997.144999999997
187,13:47:00,0.2,1000,700,6,7,38,27,28,6,8,30,21,6,4756.04562604391,17128.760000000002,0.011768102645874023,0.04756903648376465,0.0,12871.239999999998
196,16:23:30,0,1000,700,1,2,29,17,5,14,24,5,3,14,1149.591013481273,4404.97,0.014530181884765625,0.11365103721618652,0.0,595.0300000000002
194,07:10:00,0,1000,700,1,2,51,26,28,0,0,51,26,0,3324.802180267234,12739.882,0.053167104721069336,0.014390945434570312,0.0,38260.118
192,08:28:00,1,1000,700,12,13,33,10,21,2,2,31,8,2,3039.98834556192,10628.136999999997,0.002966165542602539,0.0007541179656982422,0.0,20371.863000000005
155,13:50:00,0.2,1000,700,3,4,32,18,18,4,7,25,14,4,2273.0693599379592,8144.5560000000005,0.008477210998535156,0.007416963577270508,0.0,16855.444
193,08:16:30,1,1000,700,13,14,43,9,20,3,6,37,6,3,2424.0270520162267,7796.377,0.0034160614013671875,0.0007791519165039062,0.0,29203.623
196,16:23:30,1,1000,700,14,15,29,8,18,5,17,12,3,5,3088.0,7970.2880000000005,0.003342151641845703,0.0012021064758300781,0.0,4029.7119999999995
155,13:50:00,0,1000,700,1,2,32,20,22,0,0,32,20,0,2196.351258649491,8415.916000000001,0.022230148315429688,0.0033111572265625,0.0,23584.084
