route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,0,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.017325878143310547,0.005984067916870117,0.0,-14581.851999999999
55,18:56:00,0.4,100,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.00039005279541015625,0.00035381317138671875,0.0,-14581.851999999999
55,18:56:00,0.4,200,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.0003750324249267578,0.00038313865661621094,0.0,-14581.851999999999
55,18:56:00,0.4,300,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.00043082237243652344,0.00034618377685546875,0.0,-14581.851999999999
55,18:56:00,0.4,400,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.0003631114959716797,0.00034809112548828125,0.0,-14581.851999999999
55,18:56:00,0.4,500,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.0003619194030761719,0.0013849735260009766,0.0,-14581.851999999999
55,18:56:00,0.4,600,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.00036406517028808594,0.0004189014434814453,0.0,-14581.851999999999
55,18:56:00,0.4,700,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.00037384033203125,0.0004401206970214844,0.0,-14581.851999999999
55,18:56:00,0.4,0,100,11,12,58,16,14,14,58,0,2,14,5105.0,14581.851999999999,0.003849029541015625,0.004995107650756836,0.0,-14581.851999999999
55,18:56:00,0.4,100,100,11,12,58,16,14,14,58,0,2,14,5105.0,14581.851999999999,0.003537893295288086,0.0017790794372558594,0.0,-14581.851999999999
55,18:56:00,0.4,200,100,11,12,58,16,14,14,58,0,2,14,5105.0,14581.851999999999,0.003587007522583008,0.004299163818359375,0.0,-14581.851999999999
55,18:56:00,0.4,300,100,11,12,58,16,15,13,55,3,3,13,5105.0,15194.059,0.004233121871948242,0.0033011436462402344,0.0,-14294.059
