route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1100,300,11,12,58,0,12,0,54,4,0,0,5139.0,14581.851999999999,0.011893987655639648,0.007664918899536133,0.0,-10181.851999999999
195,07:09:00,0.4,1100,300,9,10,48,0,10,0,35,13,0,0,2514.0,7717.884000000001,0.0006747245788574219,0.0014128684997558594,0.0,6582.115999999999
196,16:23:30,0.4,1100,300,6,7,29,0,7,0,19,10,0,0,2060.0,5893.641,0.00047397613525390625,0.00035190582275390625,0.0,5106.359
199,16:04:00,0,1100,300,1,2,43,0,2,0,43,0,0,0,3069.0,5573.648,0.0001227855682373047,0.0002791881561279297,0.0,-5573.648
192,14:50:30,0.2,1100,300,3,4,53,0,4,0,42,11,0,0,2118.0,6185.912,0.0003247261047363281,0.00032806396484375,0.0,5914.088
195,07:09:00,1,1100,300,22,23,48,0,23,0,11,37,0,0,2514.0,9212.719,0.0024461746215820312,0.00036787986755371094,0.0,31487.281000000003
196,09:57:30,0.4,1100,300,6,7,15,0,7,0,10,5,0,0,2020.0,6708.989,0.00032210350036621094,0.0002651214599609375,0.0,-1208.9889999999996
155,07:44:30,0.2,1100,300,2,3,45,0,3,0,44,1,0,0,1926.0,4926.077000000001,0.00013685226440429688,0.00022912025451660156,0.0,-3826.077000000001
55,15:58:00,0.4,1100,300,9,10,71,0,10,0,47,24,0,0,4126.0,10434.077999999998,0.0009112358093261719,0.0003559589385986328,0.0,15965.922000000002
196,16:23:30,0.2,1100,300,3,4,29,0,4,0,27,2,0,0,2060.0,5133.188,0.00021505355834960938,0.00036597251892089844,0.0,-2933.188
195,07:09:00,0,1100,300,1,2,48,0,2,0,47,1,0,0,2514.0,4176.066000000001,0.0001342296600341797,0.0003230571746826172,0.0,-3076.0660000000007
199,16:04:00,1,1100,300,19,20,43,0,20,0,13,30,0,0,3069.0,11329.088999999998,0.001980304718017578,0.00045680999755859375,0.0,21670.911
55,18:56:00,0.2,1100,300,5,6,58,0,6,0,57,1,0,0,5139.0,12126.927000000001,0.0002639293670654297,0.0003478527069091797,0.0,-11026.927000000001
195,07:09:00,0.2,1100,300,4,5,48,0,5,0,40,8,0,0,2514.0,6398.221,0.00032901763916015625,0.00032401084899902344,0.0,2401.7790000000005
196,09:57:30,0.2,1100,300,3,4,15,0,4,0,12,3,0,0,2020.0,6050.147000000001,0.00022220611572265625,0.0003178119659423828,0.0,-2750.147000000001
155,07:44:30,0.4,1100,300,5,6,45,0,6,0,44,1,0,0,1926.0,5133.157,0.00024509429931640625,0.0040760040283203125,0.0,-4033.157
55,15:58:00,0.2,1100,300,4,5,71,0,5,0,57,14,0,0,4126.0,10188.632999999998,0.000476837158203125,0.000286102294921875,0.0,5211.367000000002
192,14:50:30,0.4,1100,300,6,7,53,0,7,0,35,18,0,0,2118.0,6895.338,0.0006279945373535156,0.00036787986755371094,0.0,12904.662
194,15:17:30,1,1100,300,22,23,48,0,23,0,6,42,0,0,2382.0,8774.130999999998,0.0028412342071533203,0.0004730224609375,0.0,37425.869000000006
185,15:27:00,1,1100,300,17,18,26,0,18,0,1,25,0,0,2159.0,7930.444000000001,0.0017857551574707031,0.0004639625549316406,0.0,19569.555999999997
198,10:24:30,0,1100,300,1,2,17,0,2,0,12,5,0,0,790.0,2760.8589999999995,0.00020599365234375,0.00035381317138671875,0.0,2739.1410000000005
191,07:22:00,0,1100,300,1,2,31,0,2,0,29,2,0,0,1358.0,4674.585734896091,0.0001919269561767578,0.00038313865661621094,0.0,-2474.585734896091
195,13:21:00,0,1100,300,1,2,40,0,2,0,40,0,0,0,2556.0,4127.778,0.00010180473327636719,0.0002810955047607422,0.0,-4127.778
194,15:17:30,0.2,1100,300,4,5,48,0,5,0,48,0,0,0,2382.0,7786.160000000001,0.00017499923706054688,0.0003008842468261719,0.0,-7786.160000000001
198,19:44:00,0.4,1100,300,3,4,23,0,4,0,12,11,0,0,946.0,3398.622,0.0003228187561035156,0.00024199485778808594,0.0,8701.378
191,13:41:30,0,1100,300,1,2,23,0,2,0,23,0,0,0,1422.0,4789.601684128704,9.274482727050781e-05,0.00023102760314941406,0.0,-4789.601684128704
198,10:24:30,0.4,1100,300,3,4,17,0,4,0,8,9,0,0,790.0,2855.712,0.000286102294921875,0.00024199485778808594,0.0,7044.2880000000005
155,07:44:30,1,1100,300,12,13,45,0,13,0,3,42,0,0,1926.0,7060.512,0.0016367435455322266,0.0004169940948486328,0.0,39139.488
155,07:44:30,0,1100,300,1,2,45,0,2,0,44,1,0,0,1926.0,4926.077000000002,0.00011086463928222656,0.00021314620971679688,0.0,-3826.077000000002
191,13:41:30,1,1100,300,14,15,23,0,15,0,2,21,0,0,1422.0,5202.024684128705,0.0012769699096679688,0.0002899169921875,0.0,17897.975315871296
198,10:24:30,0.2,1100,300,2,3,17,0,3,0,10,7,0,0,790.0,2855.712,0.00032782554626464844,0.00028014183044433594,0.0,4844.2880000000005
198,10:24:30,1,1100,300,7,8,17,0,8,0,4,13,0,0,790.0,2855.712,0.0005979537963867188,0.00028204917907714844,0.0,11444.288
195,13:21:00,1,1100,300,22,23,40,0,23,0,15,25,0,0,2556.0,9334.202999999998,0.001920938491821289,0.00036907196044921875,0.0,18165.797000000002
191,07:22:00,1,1100,300,13,14,31,0,14,0,10,21,0,0,1387.0,5095.854734896091,0.001071929931640625,0.0002951622009277344,0.0,18004.145265103907
194,15:17:30,0,1100,300,1,2,48,0,2,0,48,0,0,0,2382.0,6242.156000000001,0.00011801719665527344,0.0002930164337158203,0.0,-6242.156000000001
198,19:44:00,0.2,1100,300,1,2,23,0,2,0,20,3,0,0,918.0,3292.6539999999995,0.0001881122589111328,0.00023889541625976562,0.0,7.346000000000458
194,15:17:30,0.4,1100,300,9,10,48,0,10,0,24,24,0,0,2382.0,8062.555000000001,0.0010752677917480469,0.0003361701965332031,0.0,18337.445
185,15:27:00,0,1100,300,1,2,26,0,2,0,26,0,0,0,2159.0,6975.874000000001,9.489059448242188e-05,0.00024580955505371094,0.0,-6975.874000000001
195,13:21:00,0.2,1100,300,4,5,40,0,5,0,37,3,0,0,2556.0,6729.822999999999,0.00023317337036132812,0.00028896331787109375,0.0,-3429.8229999999994
194,07:10:00,0.2,1100,300,4,5,51,0,5,0,40,11,0,0,2372.0,8138.182999999999,0.0003669261932373047,0.0002980232238769531,0.0,3961.817000000001
55,15:58:00,0,1100,300,1,2,71,0,2,0,71,0,0,0,4126.0,8733.269,0.00013375282287597656,0.0003330707550048828,0.0,-8733.269
