route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1100,500,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.052999019622802734,1.953320026397705,0.0,20521.419
195,07:09:00,0.4,1100,500,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.022238969802856445,0.010757923126220703,0.0,8532.140000000001
196,16:23:30,0.4,1100,500,6,7,29,20,15,12,12,17,8,12,2060.0,8070.053999999999,0.009006977081298828,0.017250776290893555,0.0,10629.946
199,16:04:00,0,1100,500,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07364797592163086,0.1311938762664795,0.0,18202.023
192,14:50:30,0.2,1100,500,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05357718467712402,0.1282360553741455,0.0,18404.5
195,07:09:00,1,1100,500,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010592937469482422,0.0017452239990234375,0.0,5764.929000000002
196,09:57:30,0.4,1100,500,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.003062009811401367,0.0016999244689941406,0.0,1702.2799999999988
155,07:44:30,0.2,1100,500,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06929683685302734,0.03637504577636719,0.0,19022.731
55,15:58:00,0.4,1100,500,9,10,71,50,26,34,48,23,16,34,4126.0,13052.034,0.06352400779724121,0.02972888946533203,0.0,12247.966
196,16:23:30,0.2,1100,500,3,4,29,22,15,11,11,18,11,11,1954.0,8481.37,0.011033296585083008,0.089263916015625,0.0,11318.63
195,07:09:00,0,1100,500,1,2,48,38,27,13,15,33,25,13,2514.0,10919.939,0.10848116874694824,0.23906803131103516,0.0,25380.061
199,16:04:00,1,1100,500,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.007995843887329102,0.0027010440826416016,0.0,8388.035000000002
55,18:56:00,0.2,1100,500,5,6,58,48,44,10,11,47,38,10,5139.0,22730.953000000005,0.1177070140838623,0.5847511291503906,0.0,28969.046999999995
195,07:09:00,0.2,1100,500,4,5,48,35,24,16,22,26,19,16,2514.0,10751.148000000001,0.040731191635131836,0.1516740322113037,0.0,17848.851999999963
196,09:57:30,0.2,1100,500,3,4,15,16,17,3,4,11,13,3,2020.0,8184.095000000002,0.0043392181396484375,0.007616996765136719,0.0,3915.9049999999993
155,07:44:30,0.4,1100,500,5,6,45,30,17,19,25,20,11,19,1926.0,8149.008000000002,0.034668684005737305,0.018323898315429688,0.0,13850.991999999998
