route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1000,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.05668997764587402,1.0975360870361328,0.0,16621.419
195,07:09:00,0.4,1000,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.021763086318969727,0.009804010391235352,0.0,6832.140000000001
196,16:23:30,0.4,1000,700,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.008998870849609375,0.021447181701660156,0.0,8929.946
199,16:04:00,0,1000,700,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07508587837219238,0.1926560401916504,0.0,15302.023510617044
192,14:50:30,0.2,1000,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05337691307067871,0.1408698558807373,0.0,15904.5
195,07:09:00,1,1000,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.011140823364257812,0.0020689964294433594,0.0,4364.929000000002
196,09:57:30,0.4,1000,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.002863168716430664,0.0013959407806396484,0.0,802.2799999999988
155,07:44:30,0.2,1000,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06917405128479004,0.034731149673461914,0.0,16522.731
55,15:58:00,0.4,1000,700,9,10,71,50,28,32,48,23,18,32,4126.0,13052.034825117442,0.06325912475585938,0.03415203094482422,0.0,9947.96611268328
196,16:23:30,0.2,1000,700,3,4,29,22,17,9,11,18,13,9,1954.0,8481.369999999999,0.011688947677612305,0.08826112747192383,0.0,9518.630000000001
195,07:09:00,0,1000,700,1,2,48,38,27,13,15,33,25,13,2514.0,10919.939,0.10707616806030273,0.23462510108947754,0.0,22080.061
199,16:04:00,1,1000,700,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.00818777084350586,0.002485990524291992,0.0,6488.035000000002
55,18:56:00,0.2,1000,700,5,6,58,48,44,10,11,47,38,10,5139.0,22730.953000000005,0.12113404273986816,0.6141350269317627,0.0,24269.046999999995
195,07:09:00,0.2,1000,700,4,5,48,35,25,15,22,26,20,15,2514.0,10751.147999999986,0.041174888610839844,0.18165993690490723,0.0,15248.851999999975
196,09:57:30,0.2,1000,700,3,4,15,16,17,3,4,11,13,3,2020.0,8184.095,0.003913164138793945,0.009024858474731445,0.0,2815.9049999999997
155,07:44:30,0.4,1000,700,5,6,45,30,17,19,25,20,11,19,1926.0,8149.008000000002,0.03579282760620117,0.018919944763183594,0.0,11850.991999999998
55,15:58:00,0.2,1000,700,4,5,71,53,34,24,32,39,29,24,4126.0,15916.992,0.08620119094848633,0.06491494178771973,0.0,23083.008
192,14:50:30,0.4,1000,700,6,7,53,36,24,19,29,24,17,19,2118.0,9008.505000000001,0.024374961853027344,0.012398958206176758,0.0,14991.494999999999
