route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
55,18:56:00,0.4,1000,0,11,12,2,2,12,2,2,0,0,2,6900.0,14581.851999999999,0.006616830825805664,0.0014808177947998047,0.0,-14581.851999999999
55,18:56:00,0.4,1000,100,11,12,7,5,15,2,2,5,3,2,6900.0,16011.169000000002,0.0008671283721923828,0.0009951591491699219,0.0,-11011.169000000002
55,18:56:00,0.4,1000,200,11,12,16,12,18,6,6,10,6,6,6030.0,17212.013000000003,0.003182649612426758,0.003362894058227539,0.0,-7212.013000000003
55,18:56:00,0.4,1000,300,11,12,51,23,21,14,38,13,9,14,6900.0,17529.972999999998,0.016171932220458984,0.06155896186828613,0.0,-4529.972999999998
55,18:56:00,0.4,1000,400,11,12,55,26,24,14,39,16,12,14,6900.0,19107.957,0.021404027938842773,0.0697929859161377,0.0,-3107.9569999999985
55,18:56:00,0.4,1000,500,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.022186994552612305,0.07061409950256348,0.0,-1616.3409999999967
55,18:56:00,0.4,1000,600,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.03956890106201172,0.0706021785736084,0.0,-1616.3409999999967
55,18:56:00,0.4,1000,700,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.022612333297729492,0.07033991813659668,0.0,-1616.3409999999967
195,07:09:00,0.4,1000,0,9,10,2,2,12,0,0,2,2,0,3557.0,7841.07,0.0005431175231933594,0.0005459785461425781,0.0,-5841.07
195,07:09:00,0.4,1000,100,9,10,22,7,17,0,0,22,7,0,3283.0,9540.228,0.0018360614776611328,0.001268148422241211,0.0,12459.772
195,07:09:00,0.4,1000,200,9,10,37,12,22,0,0,37,12,0,3459.7123971009314,11417.908,0.0042438507080078125,0.0016150474548339844,0.0,25582.092
195,07:09:00,0.4,1000,300,9,10,47,20,24,6,7,40,14,6,3557.0,12948.919999999998,0.008089065551757812,0.004642963409423828,0.0,27051.08
195,07:09:00,0.4,1000,400,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.00875711441040039,0.0045299530029296875,0.0,27051.08
195,07:09:00,0.4,1000,500,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.009112119674682617,0.0046460628509521484,0.0,27051.08
195,07:09:00,0.4,1000,600,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.009072065353393555,0.004364967346191406,0.0,27051.08
195,07:09:00,0.4,1000,700,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.00892329216003418,0.004297018051147461,0.0,27051.08
196,16:23:30,0.4,1000,0,6,7,6,3,9,1,1,5,2,1,2893.0,6780.105,0.0005109310150146484,0.0007131099700927734,0.0,-1780.1049999999996
196,16:23:30,0.4,1000,100,6,7,17,9,11,5,6,11,4,5,2330.0,8427.657,0.0018978118896484375,0.022099018096923828,0.0,2572.3430000000008
196,16:23:30,0.4,1000,200,6,7,23,13,12,8,11,12,5,8,2893.0,8353.595,0.004088878631591797,0.03406691551208496,0.0,3646.4050000000007
196,16:23:30,0.4,1000,300,6,7,28,13,12,8,13,15,5,8,2893.0,8353.595,0.00481414794921875,0.02965688705444336,0.0,6646.405000000001
196,16:23:30,0.4,1000,400,6,7,29,14,12,9,14,15,5,9,2893.0,8353.595,0.004945039749145508,0.0414729118347168,0.0,6646.405000000001
