route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1100,500,11,12,58,0,12,0,48,10,0,0,5139.0,14581.851999999999,0.015690088272094727,0.010812044143676758,0.0,-3581.851999999999
195,07:09:00,0.4,1100,500,9,10,48,0,10,0,14,34,0,0,2514.0,7717.884000000001,0.0012738704681396484,0.0004169940948486328,0.0,29682.115999999998
196,16:23:30,0.4,1100,500,6,7,29,0,7,0,12,17,0,0,2060.0,5893.641,0.0005970001220703125,0.00033402442932128906,0.0,12806.359
199,16:04:00,0,1100,500,1,2,43,0,2,0,43,0,0,0,3025.0,5573.648,0.00016617774963378906,0.0003001689910888672,0.0,-5573.648
192,14:50:30,0.2,1100,500,3,4,53,0,4,0,33,20,0,0,2118.0,6185.912,0.0005040168762207031,0.00032901763916015625,0.0,15814.088
195,07:09:00,1,1100,500,22,23,48,0,23,0,0,48,0,0,2514.0,9212.719,0.0028111934661865234,0.00047588348388671875,0.0,43587.281
196,09:57:30,0.4,1100,500,6,7,15,0,7,0,2,13,0,0,2020.0,6708.989,0.0005559921264648438,0.0002942085266113281,0.0,7591.011
155,07:44:30,0.2,1100,500,2,3,45,0,3,0,44,1,0,0,1926.0,4926.077000000001,0.000141143798828125,0.00024199485778808594,0.0,-3826.077000000001
55,15:58:00,0.4,1100,500,9,10,71,0,10,0,33,38,0,0,4126.0,10434.077999999998,0.0013279914855957031,0.0003848075866699219,0.0,31365.922000000002
196,16:23:30,0.2,1100,500,3,4,29,0,4,0,20,9,0,0,2060.0,5133.188,0.0003108978271484375,0.000225067138671875,0.0,4766.812
195,07:09:00,0,1100,500,1,2,48,0,2,0,46,2,0,0,2447.0,4176.066000000001,0.00017714500427246094,0.0002968311309814453,0.0,-1976.0660000000007
199,16:04:00,1,1100,500,19,20,43,0,20,0,1,42,0,0,3069.0,11329.088999999998,0.002568960189819336,0.0004100799560546875,0.0,34870.911
55,18:56:00,0.2,1100,500,5,6,58,0,6,0,54,4,0,0,5139.0,12126.927000000001,0.0003330707550048828,0.00032806396484375,0.0,-7726.9270000000015
195,07:09:00,0.2,1100,500,4,5,48,0,5,0,35,13,0,0,2514.0,6398.221,0.00043582916259765625,0.0003058910369873047,0.0,7901.779
196,09:57:30,0.2,1100,500,3,4,15,0,4,0,6,9,0,0,2020.0,6050.147000000001,0.00032901763916015625,0.00028014183044433594,0.0,3849.852999999999
155,07:44:30,0.4,1100,500,5,6,45,0,6,0,40,5,0,0,1926.0,5133.157,0.00031375885009765625,0.0002999305725097656,0.0,366.84299999999985
