route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1100,250,11,12,58,0,12,0,54,4,0,0,5139.0,14581.851999999999,0.01221466064453125,0.007858037948608398,0.0,-10181.851999999999
195,07:09:00,0.4,1100,250,9,10,48,0,10,0,37,11,0,0,2514.0,7717.884000000001,0.0006299018859863281,0.0018489360809326172,0.0,4382.115999999999
196,16:23:30,0.4,1100,250,6,7,29,0,7,0,24,5,0,0,2060.0,5893.641,0.0003292560577392578,0.00028705596923828125,0.0,-393.6409999999996
199,16:04:00,0,1100,250,1,2,43,0,2,0,43,0,0,0,3069.0,5573.648,0.0001227855682373047,0.00031495094299316406,0.0,-5573.648
192,14:50:30,0.2,1100,250,3,4,53,0,4,0,45,8,0,0,2118.0,6185.912,0.0002989768981933594,0.0002739429473876953,0.0,2614.0879999999997
195,07:09:00,1,1100,250,22,23,48,0,23,0,19,29,0,0,2514.0,9212.719,0.0021278858184814453,0.0004680156707763672,0.0,22687.281000000003
196,09:57:30,0.4,1100,250,6,7,15,0,7,0,12,3,0,0,1956.0,6708.989,0.0002911090850830078,0.0002760887145996094,0.0,-3408.9889999999996
155,07:44:30,0.2,1100,250,2,3,45,0,3,0,44,1,0,0,1926.0,4926.077000000001,0.00015473365783691406,0.00027298927307128906,0.0,-3826.077000000001
55,15:58:00,0.4,1100,250,9,10,71,0,10,0,56,15,0,0,4126.0,10434.077999999998,0.0006992816925048828,0.000331878662109375,0.0,6065.922000000002
196,16:23:30,0.2,1100,250,3,4,29,0,4,0,29,0,0,0,2060.0,5133.188,0.00016689300537109375,0.0002658367156982422,0.0,-5133.188
195,07:09:00,0,1100,250,1,2,48,0,2,0,47,1,0,0,2514.0,4176.066000000001,0.00015282630920410156,0.0003249645233154297,0.0,-3076.0660000000007
199,16:04:00,1,1100,250,19,20,43,0,20,0,29,14,0,0,3069.0,11329.088999999998,0.0013689994812011719,0.0004730224609375,0.0,4070.911000000002
55,18:56:00,0.2,1100,250,5,6,58,0,6,0,57,1,0,0,5139.0,12126.927000000001,0.0002701282501220703,0.0003178119659423828,0.0,-11026.927000000001
195,07:09:00,0.2,1100,250,4,5,48,0,5,0,40,8,0,0,2514.0,6398.221,0.0003421306610107422,0.0003669261932373047,0.0,2401.7790000000005
196,09:57:30,0.2,1100,250,3,4,15,0,4,0,13,2,0,0,2020.0,6050.147000000001,0.00020194053649902344,0.00027108192443847656,0.0,-3850.147000000001
155,07:44:30,0.4,1100,250,5,6,45,0,6,0,44,1,0,0,1926.0,5133.157,0.00021409988403320312,0.0002689361572265625,0.0,-4033.157
55,15:58:00,0.2,1100,250,4,5,71,0,5,0,63,8,0,0,4126.0,10188.632999999998,0.0003352165222167969,0.0002999305725097656,0.0,-1388.632999999998
192,14:50:30,0.4,1100,250,6,7,53,0,7,0,42,11,0,0,2118.0,6895.338,0.00046896934509277344,0.00039386749267578125,0.0,5204.662
194,15:17:30,1,1100,250,22,23,48,0,23,0,15,33,0,0,2382.0,8774.130999999998,0.0023398399353027344,0.00042510032653808594,0.0,27525.869000000002
185,15:27:00,1,1100,250,17,18,26,0,18,0,8,18,0,0,2159.0,7930.444000000001,0.001207113265991211,0.01803302764892578,0.0,11869.555999999999
198,10:24:30,0,1100,250,1,2,17,0,2,0,13,4,0,0,790.0,2760.8589999999995,0.00018906593322753906,0.00037789344787597656,0.0,1639.1410000000005
191,07:22:00,0,1100,250,1,2,31,0,2,0,29,2,0,0,1358.0,4674.585734896091,0.00016021728515625,0.00027298927307128906,0.0,-2474.585734896091
195,13:21:00,0,1100,250,1,2,40,0,2,0,40,0,0,0,2556.0,4127.778,0.00011014938354492188,0.0002460479736328125,0.0,-4127.778
194,15:17:30,0.2,1100,250,4,5,48,0,5,0,48,0,0,0,2382.0,7786.160000000001,0.0001590251922607422,0.0003008842468261719,0.0,-7786.160000000001
198,19:44:00,0.4,1100,250,3,4,23,0,4,0,17,6,0,0,946.0,3398.622,0.00025200843811035156,0.00023412704467773438,0.0,3201.378
191,13:41:30,0,1100,250,1,2,23,0,2,0,23,0,0,0,1422.0,4789.601684128704,8.487701416015625e-05,0.00017714500427246094,0.0,-4789.601684128704
198,10:24:30,0.4,1100,250,3,4,17,0,4,0,10,7,0,0,790.0,2855.712,0.0002512931823730469,0.0003199577331542969,0.0,4844.2880000000005
155,07:44:30,1,1100,250,12,13,45,0,13,0,14,31,0,0,1926.0,7060.512,0.0012822151184082031,0.000347137451171875,0.0,27039.488
