route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1100,200,11,12,58,41,33,20,20,38,21,20,5139.0,22120.745,0.050302982330322266,0.4736318588256836,0.0,19679.254999999954
195,07:09:00,0.4,1100,200,9,10,48,29,23,16,31,17,13,16,2514.0,10520.457,0.018677949905395508,0.0056459903717041016,0.0,8179.543
196,16:23:30,0.4,1100,200,6,7,29,20,16,11,14,15,9,11,2060.0,8070.053999999999,0.008402824401855469,0.017015933990478516,0.0,8429.946
199,16:04:00,0,1100,200,1,2,43,29,23,8,25,18,21,8,3069.0,13438.633,0.03477001190185547,0.04752993583679199,0.0,6361.367
192,14:50:30,0.2,1100,200,3,4,53,37,22,19,28,25,18,19,2118.0,9095.5,0.049913883209228516,0.07799601554870605,0.0,18404.5
195,07:09:00,1,1100,200,22,23,48,23,26,20,35,13,3,20,2459.528901216894,9635.070999999998,0.01034092903137207,0.0016491413116455078,0.0,4664.929000000002
196,09:57:30,0.4,1100,200,6,7,15,12,15,4,10,5,8,4,1956.0,7760.951,0.0016400814056396484,0.0010950565338134766,0.0,-2260.951
155,07:44:30,0.2,1100,200,2,3,45,32,18,17,21,24,15,17,1926.0,8255.697,0.0605618953704834,0.06776094436645508,0.0,18144.303
55,15:58:00,0.4,1100,200,9,10,71,49,26,33,48,23,16,33,4126.0,13052.034,0.05989885330200195,0.025684118270874023,0.0,12247.966
196,16:23:30,0.2,1100,200,3,4,29,22,17,9,13,16,13,9,1954.0,8481.369999999999,0.010804891586303711,0.0690009593963623,0.0,9118.630000000001
195,07:09:00,0,1100,200,1,2,48,36,28,10,15,33,26,10,2514.0,11106.996000000001,0.09166693687438965,0.1930980682373047,0.0,25193.004
199,16:04:00,1,1100,200,19,20,43,15,24,11,32,11,4,11,3025.0,12523.838999999996,0.004347324371337891,0.0018618106842041016,0.0,-423.8389999999963
55,18:56:00,0.2,1100,200,5,6,58,47,44,9,12,46,38,9,5139.0,22730.953000000023,0.11123824119567871,0.31277990341186523,0.0,27869.047000000013
195,07:09:00,0.2,1100,200,4,5,48,33,24,14,23,25,19,14,2514.0,10538.893000000002,0.03531908988952637,0.15456509590148926,0.0,16961.106999999996
196,09:57:30,0.2,1100,200,3,4,15,13,14,3,8,7,10,3,1956.0,7651.318,0.0023190975189208984,0.004519939422607422,0.0,48.68199999999979
155,07:44:30,0.4,1100,200,5,6,45,29,14,21,26,19,8,21,1926.0,7927.435999999991,0.03378486633300781,0.03976583480834961,0.0,12972.56400000001
55,15:58:00,0.2,1100,200,4,5,71,52,34,23,33,38,29,23,4126.0,15916.991999999997,0.0801091194152832,0.0926520824432373,0.0,25883.00799999999
192,14:50:30,0.4,1100,200,6,7,53,35,24,18,29,24,17,18,2090.0,9008.505000000001,0.022794008255004883,0.010619878768920898,0.0,17391.495
194,15:17:30,1,1100,200,22,23,48,17,25,15,26,22,2,15,2343.0,9042.614999999998,0.008040904998779297,0.0010771751403808594,0.0,15157.385000000002
185,15:27:00,1,1100,200,17,18,26,17,23,12,20,6,5,12,2113.0,8614.527999999998,0.004758119583129883,0.0008940696716308594,0.0,-2014.5279999999984
198,10:24:30,0,1100,200,1,2,17,17,9,10,10,7,7,10,790.0,3510.5789999999997,0.008715152740478516,0.005878925323486328,0.0,4189.421
191,07:22:00,0,1100,200,1,2,31,21,14,9,18,13,12,9,1387.0,6152.289734896091,0.019906997680664062,0.012232065200805664,0.0,8147.710265103909
195,13:21:00,0,1100,200,1,2,40,40,27,15,20,20,25,15,2556.0,11374.160973948996,0.0859379768371582,0.25048089027404785,0.0,10625.839026050955
194,15:17:30,0.2,1100,200,4,5,48,28,22,11,23,25,17,11,2356.8992931281246,10297.189999999999,0.026015281677246094,0.004369974136352539,0.0,17202.81
198,19:44:00,0.4,1100,200,3,4,23,13,11,6,8,15,7,6,929.594890837514,3879.101,0.003976106643676758,0.003910064697265625,0.0,12620.899
