route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,0,700,11,12,58,42,12,42,58,0,0,42,5105.0,14581.851999999999,0.054080963134765625,0.015033960342407227,0.0,-14581.851999999999
55,18:56:00,0.4,200,700,11,12,58,42,24,30,34,24,12,30,5105.0,16812.963,0.04220318794250488,0.028192996978759766,0.0,-12012.963
55,18:56:00,0.4,400,700,11,12,58,42,34,20,21,37,22,20,5139.0,21315.822473098367,0.042748212814331055,0.8002610206604004,0.0,-6515.822273451366
55,18:56:00,0.4,600,700,11,12,58,42,34,20,20,38,22,20,5139.0,21744.693,0.042053937911987305,1.3235828876495361,0.0,1055.3076399471383
55,18:56:00,0.4,800,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.58100000006,0.041062116622924805,1.0930778980255127,0.0,8821.418999999956
55,18:56:00,0.4,1000,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.041374921798706055,1.1322290897369385,0.0,16621.419
55,18:56:00,0.4,1200,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.58099999995,0.10434603691101074,1.4622678756713867,0.0,24421.41900000005
55,18:56:00,0.4,1400,700,11,12,58,42,36,18,19,39,24,18,5139.0,22378.581000000006,0.0420079231262207,1.6257719993591309,0.0,32221.418999999994
55,18:56:00,0.4,1600,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581000000002,0.04131913185119629,1.5731589794158936,0.0,40021.418999999994
55,18:56:00,0.4,1800,700,11,12,58,42,34,20,19,39,22,20,5139.0,22378.581000000002,0.041864871978759766,1.4143831729888916,0.0,47821.420198245774
55,18:56:00,0.4,2000,700,11,12,58,42,36,18,19,39,24,18,5139.0,22378.581,0.04101705551147461,1.422154188156128,0.0,55621.419
195,07:09:00,0.4,0,700,9,10,48,31,11,30,48,0,1,30,2447.0,7717.884000000001,0.028631925582885742,0.0053310394287109375,0.0,-7717.884000000001
195,07:09:00,0.4,200,700,9,10,48,31,16,25,36,12,6,25,2447.0,8093.578000000001,0.02196192741394043,0.00439906120300293,0.0,-5693.578000000001
195,07:09:00,0.4,400,700,9,10,48,31,19,22,34,14,9,22,2447.0,8605.122000000001,0.021718978881835938,0.0063550472259521484,0.0,-3005.122000000001
195,07:09:00,0.4,600,700,9,10,48,31,23,18,31,17,13,18,2447.0,10167.859999999999,0.021650314331054688,0.007600069046020508,0.0,32.14000000000124
195,07:09:00,0.4,800,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.022049665451049805,0.008903980255126953,0.0,3432.1400000000012
195,07:09:00,0.4,1000,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.023182153701782227,0.010351896286010742,0.0,6832.140000000001
195,07:09:00,0.4,1200,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.02236175537109375,0.009639978408813477,0.0,10232.140000000001
195,07:09:00,0.4,1400,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.02173471450805664,0.009752988815307617,0.0,13632.140000000001
195,07:09:00,0.4,1600,700,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.022546052932739258,0.010512113571166992,0.0,17032.14
195,07:09:00,0.4,1800,700,9,10,48,31,22,19,31,17,12,19,2514.0,10167.859999999988,0.022248029708862305,0.011276960372924805,0.0,20432.13999999987
195,07:09:00,0.4,2000,700,9,10,48,31,21,20,31,17,11,20,2514.0,10167.860000000011,0.021929025650024414,0.012690067291259766,0.0,23832.139999999952
196,16:23:30,0.4,0,700,6,7,29,20,8,19,29,0,1,19,1954.0,5893.641000000001,0.009117841720581055,0.0021538734436035156,0.0,-5893.641000000001
196,16:23:30,0.4,200,700,6,7,29,20,13,14,17,12,6,14,1954.0,6803.277999999999,0.00908207893371582,0.03421783447265625,0.0,-4403.277999999999
196,16:23:30,0.4,400,700,6,7,29,20,16,11,12,17,9,11,2060.0,8070.053999999999,0.009434223175048828,0.04013800621032715,0.0,-1270.0539999999992
196,16:23:30,0.4,600,700,6,7,29,20,17,10,12,17,10,10,1954.0,8070.053999999999,0.009317874908447266,0.023684978485107422,0.0,2129.946000000001
196,16:23:30,0.4,800,700,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009243965148925781,0.020702123641967773,0.0,5529.946000000001
196,16:23:30,0.4,1000,700,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009216070175170898,0.021914005279541016,0.0,8929.946
196,16:23:30,0.4,1200,700,6,7,29,20,15,12,12,17,8,12,2060.0,8070.053999999999,0.03115391731262207,0.01566791534423828,0.0,12329.946
196,16:23:30,0.4,1400,700,6,7,29,20,15,12,12,17,8,12,1954.0,8070.053999999999,0.008877038955688477,0.02249884605407715,0.0,15729.946
196,16:23:30,0.4,1600,700,6,7,29,20,17,10,12,17,10,10,2060.0,8070.053999999999,0.009150981903076172,0.016559123992919922,0.0,19129.946
196,16:23:30,0.4,1800,700,6,7,29,20,17,10,12,17,10,10,1954.0,8070.053999999999,0.009192943572998047,0.022170066833496094,0.0,22529.946
196,16:23:30,0.4,2000,700,6,7,29,20,16,11,12,17,9,11,2060.0,8070.053999999999,0.00917816162109375,0.013315916061401367,0.0,25929.946
199,16:04:00,0,0,700,1,2,43,33,2,33,43,0,0,33,3069.0,5573.648,0.0723869800567627,0.0062139034271240234,0.0,-5573.648
199,16:04:00,0,200,700,1,2,43,33,4,31,41,2,2,31,3025.0,5847.944000000001,0.07312202453613281,0.0073549747467041016,0.0,-5447.944000000001
199,16:04:00,0,400,700,1,2,43,33,25,10,14,29,23,10,3069.0,13697.977226362715,0.0720362663269043,0.10933494567871094,0.0,-2097.9769312458957
199,16:04:00,0,600,700,1,2,43,33,25,10,14,29,23,10,3069.0,13697.97738259586,0.07387804985046387,0.14905405044555664,0.0,3702.0232261646916
199,16:04:00,0,800,700,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.0722498893737793,0.09892797470092773,0.0,9502.023000000001
199,16:04:00,0,1000,700,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07324409484863281,0.18270015716552734,0.0,15302.023510617044
199,16:04:00,0,1200,700,1,2,43,33,24,11,14,29,22,11,3069.0,13697.977,0.07213783264160156,0.18719196319580078,0.0,21102.023
199,16:04:00,0,1400,700,1,2,43,33,25,10,14,29,23,10,3064.15018790264,13697.977,0.0723121166229248,0.1481151580810547,0.0,26902.023
199,16:04:00,0,1600,700,1,2,43,33,24,11,14,29,22,11,3064.15018790264,13697.976999999999,0.07230520248413086,0.14853811264038086,0.0,32702.023
199,16:04:00,0,1800,700,1,2,43,33,24,11,14,29,22,11,3069.0,13697.97700000006,0.09275007247924805,0.16096115112304688,0.0,38502.02300000025
199,16:04:00,0,2000,700,1,2,43,33,23,12,14,29,21,12,3069.0,13697.977000000015,0.07223725318908691,0.1262810230255127,0.0,44302.0230000001
192,14:50:30,0.2,0,700,3,4,53,38,10,32,53,0,6,32,2090.0,6185.911999999999,0.05289793014526367,0.010437965393066406,0.0,-6185.911999999999
192,14:50:30,0.2,200,700,3,4,53,38,19,23,31,22,15,23,2118.0,8380.802,0.05266213417053223,0.02731180191040039,0.0,-3980.8019999999997
192,14:50:30,0.2,400,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05216574668884277,0.09998917579650879,0.0,904.5
192,14:50:30,0.2,600,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05201101303100586,0.12047100067138672,0.0,5904.5
192,14:50:30,0.2,800,700,3,4,53,38,22,20,28,25,18,20,2098.628355404442,9095.500000000007,0.051567792892456055,0.1302480697631836,0.0,10904.499999999993
192,14:50:30,0.2,1000,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05237770080566406,0.1400918960571289,0.0,15904.5
192,14:50:30,0.2,1200,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.499999999782,0.052606821060180664,0.11735892295837402,0.0,20904.499999999432
192,14:50:30,0.2,1400,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.499999999996,0.05184006690979004,0.10257792472839355,0.0,25904.499999999993
192,14:50:30,0.2,1600,700,3,4,53,38,22,20,28,25,18,20,2117.9999999999927,9095.499999999989,0.05175614356994629,0.14158010482788086,0.0,30904.50000000002
192,14:50:30,0.2,1800,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.052258968353271484,0.13501715660095215,0.0,35904.5
192,14:50:30,0.2,2000,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.500000000013,0.05305290222167969,0.10991501808166504,0.0,40904.49999999975
195,07:09:00,1,0,700,22,23,48,24,23,24,48,0,0,24,2514.0,9212.719,0.010713815689086914,0.001950979232788086,0.0,-9212.719
195,07:09:00,1,200,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.01070094108581543,0.0018830299377441406,0.0,-6835.070999999998
195,07:09:00,1,400,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010820150375366211,0.0019860267639160156,0.0,-4035.070999999998
195,07:09:00,1,600,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010766029357910156,0.00185394287109375,0.0,-1235.070999999998
195,07:09:00,1,800,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010634899139404297,0.002032041549682617,0.0,1564.929000000002
195,07:09:00,1,1000,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.01075601577758789,0.0021169185638427734,0.0,4364.929000000002
195,07:09:00,1,1200,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010715961456298828,0.002216815948486328,0.0,7164.929000000002
195,07:09:00,1,1400,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010828971862792969,0.0018031597137451172,0.0,9964.929000000002
195,07:09:00,1,1600,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010873794555664062,0.0019330978393554688,0.0,12764.929000000002
195,07:09:00,1,1800,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010734796524047852,0.0019030570983886719,0.0,15564.929000000002
195,07:09:00,1,2000,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.010904073715209961,0.0020530223846435547,0.0,18364.929000000004
196,09:57:30,0.4,0,700,6,7,15,15,8,14,15,0,1,14,2020.0,6708.989,0.003615856170654297,0.0013909339904785156,0.0,-6708.989
196,09:57:30,0.4,200,700,6,7,15,15,15,7,9,6,8,7,1956.0,7003.195000000001,0.002908945083618164,0.001397848129272461,0.0,-5803.195000000001
196,09:57:30,0.4,400,700,6,7,15,15,16,6,8,7,9,6,1956.0,7347.497,0.002891063690185547,0.0014231204986572266,0.0,-4547.497
196,09:57:30,0.4,600,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.0037376880645751953,0.001338958740234375,0.0,-2797.720000000001
196,09:57:30,0.4,800,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.0029108524322509766,0.0013530254364013672,0.0,-997.7200000000012
196,09:57:30,0.4,1000,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.0029439926147460938,0.0015959739685058594,0.0,802.2799999999988
196,09:57:30,0.4,1200,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.002969980239868164,0.0013890266418457031,0.0,2602.279999999999
196,09:57:30,0.4,1400,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.002902984619140625,0.0013241767883300781,0.0,4402.279999999999
196,09:57:30,0.4,1600,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.003522157669067383,0.0013539791107177734,0.0,6202.279999999999
196,09:57:30,0.4,1800,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.0028982162475585938,0.0015289783477783203,0.0,8002.279999999999
196,09:57:30,0.4,2000,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.0029020309448242188,0.0012869834899902344,0.0,9802.279999999999
155,07:44:30,0.2,0,700,2,3,45,33,6,30,45,0,3,30,1868.0,4926.077,0.0668947696685791,0.007416963577270508,0.0,-4926.077
155,07:44:30,0.2,200,700,2,3,45,33,13,23,30,15,10,23,1868.0,6125.939,0.06787872314453125,0.013681888580322266,0.0,-3125.9390000000003
155,07:44:30,0.2,400,700,2,3,45,33,19,17,20,25,16,17,1926.0000000000036,8477.269,0.0668790340423584,0.026012897491455078,0.0,1522.7309999999998
155,07:44:30,0.2,600,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06729865074157715,0.028996944427490234,0.0,6522.731
155,07:44:30,0.2,800,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06680488586425781,0.031263113021850586,0.0,11522.731
155,07:44:30,0.2,1000,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.07870292663574219,0.03391718864440918,0.0,16522.731
155,07:44:30,0.2,1200,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06804609298706055,0.0397188663482666,0.0,21522.731
155,07:44:30,0.2,1400,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.0676579475402832,0.05501389503479004,0.0,26522.731
155,07:44:30,0.2,1600,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06734585762023926,0.03261995315551758,0.0,31522.731
155,07:44:30,0.2,1800,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06885004043579102,0.04237008094787598,0.0,36522.731
155,07:44:30,0.2,2000,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.07463192939758301,0.035394906997680664,0.0,41522.731
55,15:58:00,0.4,0,700,9,10,71,50,15,45,71,0,5,45,4074.0,10434.078,0.06378531455993652,0.00810098648071289,0.0,-10434.078
55,15:58:00,0.4,200,700,9,10,71,50,25,35,51,20,15,35,4074.0,10917.219000000003,0.06131410598754883,0.008262872695922852,0.0,-6917.219000000003
55,15:58:00,0.4,400,700,9,10,71,50,24,36,51,20,14,36,4074.0,10917.219000000003,0.06335997581481934,0.008404016494750977,0.0,-2917.219000000003
55,15:58:00,0.4,600,700,9,10,71,50,24,36,51,20,14,36,4074.0,10917.219000000003,0.06534576416015625,0.012003898620605469,0.0,1082.7809999999972
55,15:58:00,0.4,800,700,9,10,71,50,27,33,48,23,17,33,4126.0,13052.033999999949,0.06444883346557617,0.03343510627746582,0.0,5347.966000000013
55,15:58:00,0.4,1000,700,9,10,71,50,28,32,48,23,18,32,4126.0,13052.034825117442,0.06520295143127441,0.03564310073852539,0.0,9947.96611268328
55,15:58:00,0.4,1200,700,9,10,71,50,26,34,48,23,16,34,4126.0,13052.034540482322,0.06510376930236816,0.03163886070251465,0.0,14547.966226467195
55,15:58:00,0.4,1400,700,9,10,71,50,27,33,48,23,17,33,4126.0,13052.034000000001,0.06515002250671387,0.031024932861328125,0.0,19147.966
55,15:58:00,0.4,1600,700,9,10,71,50,26,34,48,23,16,34,4126.0,13052.034000000001,0.06468796730041504,0.06630396842956543,0.0,23747.966
55,15:58:00,0.4,1800,700,9,10,71,50,28,32,46,25,18,32,4126.0,16424.864,0.06418800354003906,0.10269904136657715,0.0,28575.136
55,15:58:00,0.4,2000,700,9,10,71,50,29,31,46,25,19,31,4126.0,16424.864,0.06153392791748047,0.11209583282470703,0.0,33575.136
196,16:23:30,0.2,0,700,3,4,29,22,7,19,29,0,3,19,1954.0,5133.188,0.011301040649414062,0.0023469924926757812,0.0,-5133.188
196,16:23:30,0.2,200,700,3,4,29,22,12,14,15,14,8,14,2060.0,7045.3589999999995,0.011464834213256836,0.06318783760070801,0.0,-4245.3589999999995
196,16:23:30,0.2,400,700,3,4,29,22,16,10,12,17,12,10,1954.0,7813.9039999999995,0.011332273483276367,0.05557394027709961,0.0,-1013.9039999999995
196,16:23:30,0.2,600,700,3,4,29,22,14,12,12,17,10,12,2060.0,7813.9039999999995,0.011392831802368164,0.10085105895996094,0.0,2386.0960000000005
196,16:23:30,0.2,800,700,3,4,29,22,16,10,11,18,12,10,1954.0,8481.370000000034,0.011438131332397461,0.0923609733581543,0.0,5918.630000000099
196,16:23:30,0.2,1000,700,3,4,29,22,17,9,11,18,13,9,1954.0,8481.369999999999,0.01151585578918457,0.08773088455200195,0.0,9518.630000000001
196,16:23:30,0.2,1200,700,3,4,29,22,15,11,11,18,11,11,1954.0,8481.37,0.01152491569519043,0.10311198234558105,0.0,13118.63
196,16:23:30,0.2,1400,700,3,4,29,22,17,9,11,18,13,9,2060.0,8481.369999999999,0.01181793212890625,0.05931282043457031,0.0,16718.63
196,16:23:30,0.2,1600,700,3,4,29,22,16,10,11,18,12,10,1954.0,8481.369999999999,0.011392831802368164,0.06601500511169434,0.0,20318.63
196,16:23:30,0.2,1800,700,3,4,29,22,16,10,11,18,12,10,1954.0,8481.369999999999,0.011373043060302734,0.048757076263427734,0.0,23918.63
196,16:23:30,0.2,2000,700,3,4,29,22,15,11,11,18,11,11,2060.0,8481.37,0.011107683181762695,0.04876589775085449,0.0,27518.629999999997
195,07:09:00,0,0,700,1,2,48,38,2,38,48,0,0,38,2514.0,4176.066000000001,0.12547898292541504,0.007325887680053711,0.0,-4176.066000000001
195,07:09:00,0,200,700,1,2,48,38,20,20,25,23,18,20,2447.0,8239.658,0.10576224327087402,0.023540019989013672,0.0,-3639.6579999999994
195,07:09:00,0,400,700,1,2,48,38,27,13,15,33,25,13,2514.0,10919.939,0.10413384437561035,0.16961288452148438,0.0,2280.0609999999997
195,07:09:00,0,600,700,1,2,48,38,26,14,15,33,24,14,2514.0,10919.939,0.10442996025085449,0.19907784461975098,0.0,8880.061
195,07:09:00,0,800,700,1,2,48,38,26,14,15,33,24,14,2514.0,10919.939,0.10383796691894531,0.3083319664001465,0.0,15480.061
195,07:09:00,0,1000,700,1,2,48,38,27,13,15,33,25,13,2514.0,10919.939,0.10359406471252441,0.22752118110656738,0.0,22080.061
195,07:09:00,0,1200,700,1,2,48,38,27,13,15,33,25,13,2514.0,10919.939,0.10449504852294922,0.2440929412841797,0.0,28680.061
195,07:09:00,0,1400,700,1,2,48,38,26,14,15,33,24,14,2514.0,10919.939,0.10677695274353027,0.23442578315734863,0.0,35280.061
195,07:09:00,0,1600,700,1,2,48,38,28,12,15,33,26,12,2514.0,10919.939,0.10378193855285645,0.6025009155273438,0.0,41880.061
195,07:09:00,0,1800,700,1,2,48,38,26,14,15,33,24,14,2514.0,10919.939913487657,0.10617303848266602,0.2874281406402588,0.0,48480.06303997188
195,07:09:00,0,2000,700,1,2,48,38,27,13,15,33,25,13,2514.0,10919.939,0.10568022727966309,0.2765820026397705,0.0,55080.061
199,16:04:00,1,0,700,19,20,43,18,20,18,43,0,0,18,3025.0,11329.088999999998,0.007791757583618164,0.0017549991607666016,0.0,-11329.088999999998
199,16:04:00,1,200,700,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.008559942245483398,0.0034990310668945312,0.0,-8711.964999999998
199,16:04:00,1,400,700,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.007762908935546875,0.002146005630493164,0.0,-4911.964999999998
199,16:04:00,1,600,700,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.0077838897705078125,0.0021238327026367188,0.0,-1111.9649999999983
199,16:04:00,1,800,700,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.007877826690673828,0.002171039581298828,0.0,2688.0350000000017
199,16:04:00,1,1000,700,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.007850885391235352,0.002341032028198242,0.0,6488.035000000002
199,16:04:00,1,1200,700,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.00916910171508789,0.002928018569946289,0.0,10288.035000000002
199,16:04:00,1,1400,700,19,20,43,18,24,14,24,19,4,14,3025.0,12511.964999999998,0.007854223251342773,0.0022170543670654297,0.0,14088.035000000002
