route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,0,700,11,12,58,42,12,42,58,0,0,42,5105.0,14581.851999999999,0.05415034294128418,0.015371084213256836,0.0,-14581.851999999999
55,18:56:00,0.4,50,700,11,12,58,42,16,38,55,3,4,38,5105.0,14581.851999999999,0.042315006256103516,0.01143193244934082,0.0,-14431.851999999999
55,18:56:00,0.4,100,700,11,12,58,42,16,38,43,15,4,38,5105.0,15194.058999999997,0.04281902313232422,0.006309032440185547,0.0,-13694.058999999997
55,18:56:00,0.4,150,700,11,12,58,42,16,38,43,15,4,38,5105.0,15194.058999999997,0.04181814193725586,0.006085872650146484,0.0,-12944.058999999997
55,18:56:00,0.4,200,700,11,12,58,42,24,30,34,24,12,30,5105.0,16812.963,0.04257798194885254,0.023680925369262695,0.0,-12012.963
55,18:56:00,0.4,250,700,11,12,58,42,24,30,33,25,12,30,5139.0,17029.188000000002,0.040873050689697266,0.038240909576416016,0.0,-10779.188000000002
55,18:56:00,0.4,300,700,11,12,58,42,23,31,33,25,11,31,5105.0,17040.205,0.040907859802246094,0.06795597076416016,0.0,-9540.205000000002
55,18:56:00,0.4,350,700,11,12,58,42,27,27,28,30,15,27,5139.0,18655.239,0.04496312141418457,0.21466588973999023,0.0,-8155.239000000001
55,18:56:00,0.4,400,700,11,12,58,42,34,20,21,37,22,20,5139.0,21315.822473098367,0.043599843978881836,0.7689259052276611,0.0,-6515.822273451366
55,18:56:00,0.4,450,700,11,12,58,42,35,19,20,38,23,19,5139.0,21744.693,0.041351318359375,1.175112009048462,0.0,-4644.692999999999
55,18:56:00,0.4,500,700,11,12,58,42,35,19,20,38,23,19,5139.0,21744.69289260849,0.04090118408203125,1.2640340328216553,0.0,-2744.6924912400045
55,18:56:00,0.4,550,700,11,12,58,42,34,20,20,38,22,20,5139.0,21744.693,0.04165506362915039,0.9507238864898682,0.0,-844.6929999999993
55,18:56:00,0.4,600,700,11,12,58,42,34,20,20,38,22,20,5139.0,21744.693,0.04149794578552246,1.4374969005584717,0.0,1055.3076399471383
55,18:56:00,0.4,650,700,11,12,58,42,36,18,19,39,24,18,5139.0,22378.580426264107,0.04081583023071289,1.645324945449829,0.0,2971.419416197972
55,18:56:00,0.4,700,700,11,12,58,42,36,18,19,39,24,18,5139.0,22378.580413550015,0.04102826118469238,1.1877880096435547,0.0,4921.419586449985
55,18:56:00,0.4,750,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581000000002,0.04220914840698242,1.2100229263305664,0.0,6871.418999999998
55,18:56:00,0.4,800,700,11,12,58,42,35,19,19,39,23,19,5139.0,22378.58100000006,0.04184293746948242,1.1333160400390625,0.0,8821.418999999956
55,18:56:00,0.4,850,700,11,12,58,42,34,20,19,39,22,20,5139.0,22378.58099999999,0.041895151138305664,0.9332091808319092,0.0,10771.419000000038
55,18:56:00,0.4,900,700,11,12,58,42,36,18,19,39,24,18,5139.0,22378.581,0.042876243591308594,1.5275928974151611,0.0,12721.419000000002
