route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
55,18:56:00,0.4,1000,0,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.014128923416137695,0.00970602035522461,0.0,-14581.851999999999
55,18:56:00,0.4,1000,25,11,12,58,0,12,0,58,0,0,0,5139.0,14581.851999999999,0.0003941059112548828,0.00033211708068847656,0.0,-14581.851999999999
55,18:56:00,0.4,1000,50,11,12,58,2,13,1,57,1,1,1,5139.0,15194.059,0.0005180835723876953,0.002916097640991211,0.0,-14194.059
55,18:56:00,0.4,1000,75,11,12,58,8,20,0,52,6,8,0,5105.0,18715.004,0.001275777816772461,0.004129886627197266,0.0,-12715.004
55,18:56:00,0.4,1000,100,11,12,58,16,23,5,48,10,11,5,5139.0,20034.649,0.0038299560546875,0.01774907112121582,0.0,-10034.649000000001
55,18:56:00,0.4,1000,125,11,12,58,24,28,8,40,18,16,8,5105.0,20993.14842425035,0.009384870529174805,0.09822392463684082,0.0,-2993.147758893203
55,18:56:00,0.4,1000,150,11,12,58,34,31,15,34,24,19,15,5139.0,22045.01628714207,0.021938085556030273,0.6424541473388672,0.0,1954.9846667461861
55,18:56:00,0.4,1000,175,11,12,58,38,33,17,24,34,21,17,5139.0,22437.774000000005,0.03342008590698242,0.3232231140136719,0.0,11562.225999999995
55,18:56:00,0.4,1000,200,11,12,58,41,34,19,20,38,22,19,5139.0,22120.745,0.039469003677368164,0.5254058837890625,0.0,15879.255000000001
55,18:56:00,0.4,1000,225,11,12,58,41,34,19,20,38,22,19,5139.0,22120.745,0.040461063385009766,0.5382139682769775,0.0,15879.255000000001
55,18:56:00,0.4,1000,250,11,12,58,41,35,18,19,39,23,18,5139.0,22378.581,0.041465044021606445,1.1419780254364014,0.0,16621.419
55,18:56:00,0.4,1000,275,11,12,58,41,35,18,19,39,23,18,5139.0,22378.581,0.04039502143859863,1.1838350296020508,0.0,16621.419
55,18:56:00,0.4,1000,300,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04169297218322754,1.2051620483398438,0.0,16621.419
55,18:56:00,0.4,1000,325,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.047324180603027344,1.1310491561889648,0.0,16621.419
55,18:56:00,0.4,1000,350,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.04190683364868164,1.1133170127868652,0.0,16621.419
55,18:56:00,0.4,1000,375,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.041365861892700195,1.1427738666534424,0.0,16621.419
55,18:56:00,0.4,1000,400,11,12,58,42,35,19,19,39,23,19,5139.0,22378.581,0.041589975357055664,1.1263601779937744,0.0,16621.419
195,07:09:00,0.4,1000,0,9,10,48,0,10,0,48,0,0,0,2514.0,7717.884000000001,0.00033092498779296875,0.0003790855407714844,0.0,-7717.884000000001
195,07:09:00,0.4,1000,25,9,10,48,0,10,0,48,0,0,0,2514.0,7717.884000000001,0.00029468536376953125,0.0003609657287597656,0.0,-7717.884000000001
195,07:09:00,0.4,1000,50,9,10,48,1,11,0,47,1,1,0,2514.0,7765.932000000001,0.00034928321838378906,0.00041794776916503906,0.0,-6765.932000000001
195,07:09:00,0.4,1000,75,9,10,48,8,16,2,45,3,6,2,2509.3167949176823,8653.054000000002,0.0009489059448242188,0.0009899139404296875,0.0,-5653.054000000002
195,07:09:00,0.4,1000,100,9,10,48,9,16,3,44,4,6,3,2509.3167949176823,8653.054000000002,0.0011930465698242188,0.0009710788726806641,0.0,-4653.054000000002
195,07:09:00,0.4,1000,125,9,10,48,21,20,11,38,10,10,11,2514.0,9955.604999999998,0.006269931793212891,0.0030989646911621094,0.0,44.395000000002256
195,07:09:00,0.4,1000,150,9,10,48,25,19,16,35,13,9,16,2514.0,9955.604999999998,0.010942220687866211,0.004581928253173828,0.0,3044.3950000000023
195,07:09:00,0.4,1000,175,9,10,48,27,20,17,33,15,10,17,2447.0,9955.604999999998,0.014256000518798828,0.0058939456939697266,0.0,5044.395000000002
195,07:09:00,0.4,1000,200,9,10,48,29,23,16,31,17,13,16,2514.0,10520.457000000002,0.018085956573486328,0.005697011947631836,0.0,6479.542999999998
195,07:09:00,0.4,1000,225,9,10,48,29,23,16,31,17,13,16,2514.0,10520.457000000002,0.018156051635742188,0.005596160888671875,0.0,6479.542999999998
195,07:09:00,0.4,1000,250,9,10,48,29,23,16,31,17,13,16,2514.0,10520.457000000002,0.018310070037841797,0.00586390495300293,0.0,6479.542999999998
195,07:09:00,0.4,1000,275,9,10,48,29,23,16,31,17,13,16,2514.0,10520.457000000002,0.018159151077270508,0.005651950836181641,0.0,6479.542999999998
195,07:09:00,0.4,1000,300,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.021853923797607422,0.011347055435180664,0.0,6832.140000000001
195,07:09:00,0.4,1000,325,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.022963285446166992,0.009299039840698242,0.0,6832.140000000001
195,07:09:00,0.4,1000,350,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.02229785919189453,0.011204957962036133,0.0,6832.140000000001
195,07:09:00,0.4,1000,375,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.021958112716674805,0.009273052215576172,0.0,6832.140000000001
195,07:09:00,0.4,1000,400,9,10,48,31,22,19,31,17,12,19,2447.0,10167.859999999999,0.021964073181152344,0.009546995162963867,0.0,6832.140000000001
196,16:23:30,0.4,1000,0,6,7,29,0,7,0,29,0,0,0,2060.0,5893.641,0.0002307891845703125,0.000308990478515625,0.0,-5893.641
196,16:23:30,0.4,1000,25,6,7,29,0,7,0,29,0,0,0,2060.0,5893.641,0.00020313262939453125,0.0002491474151611328,0.0,-5893.641
196,16:23:30,0.4,1000,50,6,7,29,0,7,0,29,0,0,0,2060.0,5893.641,0.00020194053649902344,0.0002651214599609375,0.0,-5893.641
196,16:23:30,0.4,1000,75,6,7,29,7,11,3,27,2,4,3,1954.0,7301.508999999999,0.0008261203765869141,0.0008931159973144531,0.0,-5301.508999999999
196,16:23:30,0.4,1000,100,6,7,29,9,11,5,26,3,4,5,1954.0,7301.508999999998,0.0010559558868408203,0.002134084701538086,0.0,-4301.508999999998
196,16:23:30,0.4,1000,125,6,7,29,12,15,4,21,8,8,4,1954.0,7841.333999999999,0.0023822784423828125,0.009100914001464844,0.0,158.66600000000108
196,16:23:30,0.4,1000,150,6,7,29,18,14,11,18,11,7,11,1954.0,7841.333999999999,0.005625247955322266,0.019513845443725586,0.0,3158.666000000001
196,16:23:30,0.4,1000,175,6,7,29,18,17,8,14,15,10,8,2060.0,8070.053999999999,0.0066530704498291016,0.015260934829711914,0.0,6929.946000000001
196,16:23:30,0.4,1000,200,6,7,29,20,17,10,14,15,10,10,1954.0,8070.053999999999,0.008544921875,0.01903510093688965,0.0,6929.946000000001
196,16:23:30,0.4,1000,225,6,7,29,20,17,10,14,15,10,10,1954.0,8070.053999999999,0.008550882339477539,0.0203859806060791,0.0,6929.946000000001
196,16:23:30,0.4,1000,250,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009060859680175781,0.022310972213745117,0.0,8929.946
196,16:23:30,0.4,1000,275,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.00910806655883789,0.020840883255004883,0.0,8929.946
196,16:23:30,0.4,1000,300,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.008980989456176758,0.02157878875732422,0.0,8929.946
196,16:23:30,0.4,1000,325,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009032964706420898,0.02220010757446289,0.0,8929.946
196,16:23:30,0.4,1000,350,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009052276611328125,0.02073502540588379,0.0,8929.946
196,16:23:30,0.4,1000,375,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009090900421142578,0.02120685577392578,0.0,8929.946
196,16:23:30,0.4,1000,400,6,7,29,20,16,11,12,17,9,11,1954.0,8070.053999999999,0.009089946746826172,0.021152973175048828,0.0,8929.946
199,16:04:00,0,1000,0,1,2,43,0,2,0,43,0,0,0,3069.0,5573.648,0.000102996826171875,0.0002961158752441406,0.0,-5573.648
199,16:04:00,0,1000,25,1,2,43,0,2,0,43,0,0,0,3069.0,5573.648,8.916854858398438e-05,0.0002980232238769531,0.0,-5573.648
199,16:04:00,0,1000,50,1,2,43,0,2,0,43,0,0,0,3069.0,5573.648,8.797645568847656e-05,0.0002601146697998047,0.0,-5573.648
199,16:04:00,0,1000,75,1,2,43,0,2,0,43,0,0,0,3069.0,5573.648,8.296966552734375e-05,0.0002560615539550781,0.0,-5573.648
199,16:04:00,0,1000,100,1,2,43,4,4,2,42,1,2,2,3025.0,6396.47,0.0003199577331542969,0.0006458759307861328,0.0,-5396.47
199,16:04:00,0,1000,125,1,2,43,18,17,3,34,9,15,3,3025.0,12403.972,0.007934808731079102,0.005803108215332031,0.0,-3403.9719999999998
199,16:04:00,0,1000,150,1,2,43,24,21,5,27,16,19,5,3034.4843861846894,13565.35900000014,0.01997995376586914,0.02509617805480957,0.0,2434.6410000000087
199,16:04:00,0,1000,175,1,2,43,29,23,8,26,17,21,8,3025.0,13417.075,0.0331568717956543,0.042424917221069336,0.0,3582.9249999999993
199,16:04:00,0,1000,200,1,2,43,29,24,7,25,18,22,7,3025.0,13438.633323138822,0.035153865814208984,0.045263051986694336,0.0,4561.367282618501
199,16:04:00,0,1000,225,1,2,43,30,24,8,24,19,22,8,3069.0,13671.225,0.0390772819519043,0.04429793357849121,0.0,5328.775
199,16:04:00,0,1000,250,1,2,43,31,23,10,24,19,21,10,3069.0,13438.633,0.044378042221069336,0.15270400047302246,0.0,5561.367
199,16:04:00,0,1000,275,1,2,43,32,24,10,18,25,22,10,3069.0,13561.567308572283,0.056756019592285156,0.1343400478363037,0.0,11438.433656705518
199,16:04:00,0,1000,300,1,2,43,33,25,10,16,27,23,10,3069.0,13561.567000000001,0.06532406806945801,0.18384385108947754,0.0,13438.432999999999
199,16:04:00,0,1000,325,1,2,43,33,25,10,16,27,23,10,3069.0,13561.567,0.06995487213134766,0.12795090675354004,0.0,13438.433666666868
199,16:04:00,0,1000,350,1,2,43,33,25,10,15,28,23,10,3069.0,13561.567,0.07151222229003906,0.1536579132080078,0.0,14438.433
199,16:04:00,0,1000,375,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07277274131774902,0.18468308448791504,0.0,15302.023510617044
199,16:04:00,0,1000,400,1,2,43,33,25,10,14,29,23,10,3069.0,13697.976999999999,0.07292509078979492,0.1822659969329834,0.0,15302.023510617044
192,14:50:30,0.2,1000,0,3,4,53,0,4,0,53,0,0,0,2118.0,6185.912,0.0001811981201171875,0.0003509521484375,0.0,-6185.912
192,14:50:30,0.2,1000,25,3,4,53,0,4,0,53,0,0,0,2118.0,6185.912,0.0001430511474609375,0.0002880096435546875,0.0,-6185.912
192,14:50:30,0.2,1000,50,3,4,53,0,4,0,53,0,0,0,2118.0,6185.912,0.00014495849609375,0.0003380775451660156,0.0,-6185.912
192,14:50:30,0.2,1000,75,3,4,53,2,6,0,51,2,2,0,2090.0,6601.517,0.00023698806762695312,0.00041604042053222656,0.0,-4601.517
192,14:50:30,0.2,1000,100,3,4,53,14,13,5,46,7,9,5,2090.0,7702.408000000001,0.0034110546112060547,0.0032029151916503906,6.114513462192004e-08,-702.4080000000013
192,14:50:30,0.2,1000,125,3,4,53,22,17,9,42,11,13,9,2118.0,8574.301,0.009499788284301758,0.0061511993408203125,0.0,2425.6990000000005
192,14:50:30,0.2,1000,150,3,4,53,30,22,12,32,21,18,12,2118.0,9133.436955265166,0.024654865264892578,0.012197017669677734,0.0,11866.563044734885
192,14:50:30,0.2,1000,175,3,4,53,33,23,14,31,22,19,14,2096.099275232642,9131.528999999999,0.03359675407409668,0.11797308921813965,0.0,12868.471000000001
192,14:50:30,0.2,1000,200,3,4,53,37,22,19,28,25,18,19,2118.0,9095.5,0.049286842346191406,0.08231711387634277,0.0,15904.5
192,14:50:30,0.2,1000,225,3,4,53,37,22,19,28,25,18,19,2118.0,9095.5,0.05010795593261719,0.11300086975097656,0.0,15904.5
192,14:50:30,0.2,1000,250,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.052085161209106445,0.14710688591003418,0.0,15904.5
192,14:50:30,0.2,1000,275,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.0523378849029541,0.14090514183044434,0.0,15904.5
192,14:50:30,0.2,1000,300,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05202317237854004,0.1422879695892334,0.0,15904.5
192,14:50:30,0.2,1000,325,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05279684066772461,0.14058589935302734,0.0,15904.5
192,14:50:30,0.2,1000,350,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.052702903747558594,0.14247703552246094,0.0,15904.5
192,14:50:30,0.2,1000,375,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.052594900131225586,0.14384984970092773,0.0,15904.5
192,14:50:30,0.2,1000,400,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05223989486694336,0.13864493370056152,0.0,15904.5
