route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
55,18:56:00,0.4,1000,700,11,12,58,27,12,27,58,0,0,27,6900.0,14581.851999999999,0.03362727165222168,0.010383844375610352,0.0,-14581.851999999999
195,07:09:00,0.4,1000,700,9,10,48,21,10,21,41,7,0,21,3557.0,7717.884000000001,0.00927114486694336,0.0005550384521484375,0.0,-717.8840000000009
196,16:23:30,0.4,1000,700,6,7,29,14,7,14,26,3,0,14,2330.0,5893.641,0.0048978328704833984,0.0032618045806884766,0.0,-2893.6409999999996
199,16:04:00,0,1000,700,1,2,43,25,2,25,43,0,0,25,3491.0,5573.648,0.04227113723754883,0.0007410049438476562,0.0,-5573.648
192,14:50:30,0.2,1000,700,3,4,53,21,4,21,44,9,0,21,3108.0,6185.912,0.020576000213623047,0.0005369186401367188,0.0,2814.0879999999997
195,07:09:00,1,1000,700,22,23,48,12,23,12,20,28,0,12,4214.0,9212.719,0.005558967590332031,0.0005631446838378906,0.0,18787.281000000003
196,09:57:30,0.4,1000,700,6,7,15,9,7,9,15,0,0,9,3155.0,6708.9980000000005,0.0015339851379394531,0.0004048347473144531,0.0,-6708.9980000000005
155,07:44:30,0.2,1000,700,2,3,45,24,3,24,44,1,0,24,3005.0,4926.075000000001,0.03934216499328613,0.0007419586181640625,0.0,-3926.0750000000007
55,15:58:00,0.4,1000,700,9,10,71,28,10,28,52,19,0,28,5387.0,10434.076999999997,0.01784515380859375,0.0006070137023925781,0.0,8565.923000000003
196,16:23:30,0.2,1000,700,3,4,29,16,4,16,29,0,0,16,2557.0,5133.188,0.006196022033691406,0.0004210472106933594,0.0,-5133.188
195,07:09:00,0,1000,700,1,2,48,29,2,29,48,0,0,29,2615.0,4176.066000000001,0.061892032623291016,0.0008790493011474609,0.0,-4176.066000000001
199,16:04:00,1,1000,700,19,20,43,8,20,8,13,30,0,8,5107.0,11329.088999999998,0.004034996032714844,0.0004909038543701172,0.0,18670.911
55,18:56:00,0.2,1000,700,5,6,58,31,6,31,58,0,0,31,6490.0,12126.927000000001,0.033020734786987305,0.0006978511810302734,0.0,-12126.927000000001
195,07:09:00,0.2,1000,700,4,5,48,26,5,26,45,3,0,26,3168.0,6398.221,0.01854395866394043,0.0005629062652587891,0.0,-3398.2209999999995
196,09:57:30,0.2,1000,700,3,4,15,10,4,10,15,0,0,10,3114.0,6050.156000000001,0.0015900135040283203,0.00029397010803222656,0.0,-6050.156000000001
155,07:44:30,0.4,1000,700,5,6,45,20,6,20,44,1,0,20,2946.0,5133.155,0.013415098190307617,0.0005609989166259766,0.0,-4133.155
55,15:58:00,0.2,1000,700,4,5,71,31,5,31,65,6,0,31,5282.0,10188.632,0.03798794746398926,0.0006959438323974609,0.0,-4188.632
192,14:50:30,0.4,1000,700,6,7,53,18,7,18,37,16,0,18,3236.0,6895.338,0.009393930435180664,0.0004851818084716797,0.0,9104.662
194,15:17:30,1,1000,700,22,23,48,11,23,11,25,23,0,11,3800.0,8774.130999999998,0.005305767059326172,0.0006430149078369141,0.0,14225.869000000002
185,15:27:00,1,1000,700,17,18,26,8,18,8,8,18,0,8,3606.0,7930.444000000001,0.002749919891357422,0.00045609474182128906,0.0,10069.555999999999
198,10:24:30,0,1000,700,1,2,17,10,2,10,17,0,0,10,1729.0,2760.8729999999996,0.0037450790405273438,0.000408172607421875,0.0,-2760.8729999999996
191,07:22:00,0,1000,700,1,2,31,16,2,16,30,1,0,16,2927.0,4674.585734896091,0.01400899887084961,0.0006871223449707031,0.0,-3674.585734896091
195,13:21:00,0,1000,700,1,2,40,31,2,31,40,0,0,31,2585.0,4127.778,0.05928611755371094,0.0009729862213134766,0.0,-4127.778
194,15:17:30,0.2,1000,700,4,5,48,26,5,26,48,0,0,26,4371.0,7786.160000000001,0.019033193588256836,0.0006048679351806641,0.0,-7786.160000000001
198,19:44:00,0.4,1000,700,3,4,23,12,4,12,19,4,0,12,1645.0,3398.6359999999995,0.0029942989349365234,0.0003631114959716797,0.0,601.3640000000005
191,13:41:30,0,1000,700,1,2,23,13,2,13,23,0,0,13,2999.0,4789.601684128704,0.008188009262084961,0.0004749298095703125,0.0,-4789.601684128704
198,10:24:30,0.4,1000,700,3,4,17,8,4,8,16,1,0,8,1419.0,2855.726,0.0014579296112060547,0.0004508495330810547,0.0,-1855.726
